,Unnamed: 0,line-num,pred-model,fill-model,tokens-masked,prepend-model,sampling-strategy,premise,hypothesis,mask-filled,token_changes,fill_prob,depth,Word2Vec-Score,Bert-Score,gold-label,prepend-label,targeted-label,orig-label,new-label,orig-label-prob,same-label-prob,new-label-prob,label-changed,same-label-prob-diff,flip-class
18361,18578,91294,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,The main spire is neo-Gothic of the 19th century.,"The main spire, but not the others, is neo-gothic from the late 19th century.","The main spire, but not the others, is neo-gothic from the late 20th century.",20th,9.82%,7,0.9991194031626977,0.996533751487732,neutral,neutral,contradiction,neutral,contradiction,0.98,0.01,0.99,True,0.97,Certain-Flip
2251,2278,64559,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,"Clients could rarely, if ever, earn a positive net interest.",The hedge fund had been averaging negative returns on their client's funds.,The hedge fund had been averaging positive returns on their client's funds.,positive,10.83%,1,0.9966922551459064,0.9936270713806152,neutral,neutral,entailment,neutral,contradiction,1.0,0.02,0.98,True,0.98,Certain-Flip
9338,9457,83234,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,Visitors between May and September can take tots and teens alike for a cool dip at the Wet N Wild water park (Tel.,Visitors in the summer months can go to the waterpark to cool off between going to the clubs.,Visitors in the winter months can go to the waterpark to cool off between going to the clubs.,the winter,10.09%,3,0.9981528651571316,0.9954836368560792,neutral,neutral,contradiction,neutral,contradiction,0.99,0.08,0.91,True,0.91,Certain-Flip
835,848,11371,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,It heralded the first great phase of development in science and architecture; hieroglyphs were developed and the first great building phase took place.,The emergence of hieroglyphs and the first great building phase mark the first great phase of development in science and architecture. ,The emergence of hieroglyphs and the first great building phase mark the last great phase of development in science and architecture.,the last,10.49%,1,0.9987099856705044,0.9926518201828004,contradiction,contradiction,entailment,entailment,contradiction,0.99,0.0,1.0,True,0.99,Certain-Flip
9278,9395,95421,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,"Beaune's best-known building, the H??tel-Dieu, is a beautifully preserved 15th-century hospital with spectacular colored roof tiles.",The most famous building in Beaune was built in the 10th century.,The most famous building in Beaune was built during the 15th century.,during the 15th,10.15%,2,0.9900404069359612,0.992953598499298,entailment,entailment,contradiction,contradiction,entailment,1.0,0.0,0.98,True,1.0,Certain-Flip
18568,18787,76197,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,"Mrs. Inglethorp left her money to her elder stepson, knowing that he would have to keep up Styles. ",Mrs. Inglethorp left a large sum of money for her stepson.,Mrs. Inglethorp left a sum of money for her stepson.,sum of,10.09%,3,0.989301471000934,0.9909178018569946,neutral,neutral,contradiction,neutral,entailment,1.0,0.01,0.99,True,0.99,Certain-Flip
1712,1732,39046,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,"The arts flourished during the 16th and 17th centuries, a period known as the Cretan Renaissance.",The Cretan Renaissance was during the 16th and 17th centuries.,The Cretan Renaissance was during the 16th and 18th centuries.,and 18th,10.22%,2,0.999226953981104,0.9937807321548462,contradiction,contradiction,entailment,entailment,contradiction,0.99,0.07,0.91,True,0.92,Certain-Flip
17867,18079,28094,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,Saving entails a tradeoff because it requires consuming less now in exchange for consuming more later.,There is a tradeoff for saving because you have to consume less now and then you can double it later.,There is a tradeoff for saving because you have to consume more now and then you can double it later.,more now,10.08%,4,0.9989648883945486,0.993233859539032,neutral,neutral,entailment,neutral,contradiction,0.91,0.0,1.0,True,0.91,Certain-Flip
22466,22724,83437,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,i'm uh well actually this will be the second time i've done it,This will be the second time I have done it.,This will be the third time I have done it.,the third time,10.04%,4,0.9985073937108779,0.9958218932151794,contradiction,contradiction,neutral,entailment,contradiction,0.99,0.0,0.99,True,0.99,Certain-Flip
9743,9869,46393,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,"The English were victorious in the Picardy fields of Crec y (1346) and Azincourt (Agincourt, 1415).",Azincourt and Crecy were both the sites of English victories.,Azincourt and Crecy were both the sites of French victories.,French,10.39%,1,0.9845737293816841,0.991507649421692,contradiction,contradiction,entailment,entailment,contradiction,0.99,0.04,0.95,True,0.95,Certain-Flip
6236,6306,63135,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,The focus of this paper is First-Class Mail.,There was no paper relating to First-Class Mail.,There was no paper relating to Second-Class Mail.,Second-Class,10.68%,2,0.99694352141148,0.99500572681427,entailment,entailment,contradiction,contradiction,neutral,1.0,0.01,0.9,True,0.99,Certain-Flip
22991,23254,43186,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,He says that they do their congressional work during the day and do media in the evening.,He says that they are doing congressional work while the media does it in the evening.,He says that they are doing congressional work while the media does it in the morning.,morning.,10.34%,3,0.9978956971939732,0.9935808777809144,contradiction,contradiction,entailment,entailment,contradiction,0.96,0.02,0.97,True,0.94,Certain-Flip
11379,11519,59160,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,"Further north, the British gradually gained the upper hand over their rivals, now including the French, for the Bengali trade that was to create Calcutta.","Up North, the British gained the upper hand over their rivals and secured the Bengali trade which would create Calcutta and lead to the spice trade.","Up North, the British gained the lower hand over their rivals and secured the Bengali trade which would create Calcutta and lead to the spice trade.",the lower,9.98%,4,0.9986178036508816,0.9914809465408324,neutral,neutral,entailment,neutral,contradiction,1.0,0.1,0.89,True,0.9,Certain-Flip
12050,12196,66435,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,"Types of water are discussed in Section 5, Facilities, Equipment and Supplies.","In section 5, there is a discussion about the kinds of water.","In Section 4, there is a discussion about the kinds of water.","In Section 4,",10.17%,4,0.9989801387193312,0.9928702116012572,contradiction,contradiction,entailment,entailment,contradiction,0.99,0.03,0.95,True,0.96,Certain-Flip
11735,11877,82692,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,"Its houses hug the hillside on steep, winding streets, leading to a 16th-century castle at the top.",A 16th century castle sits on top of the hill.,A 15th century castle sits on top of the hill.,15th century,10.43%,2,0.9994401037231486,0.9980082511901855,contradiction,contradiction,entailment,entailment,contradiction,0.99,0.02,0.97,True,0.97,Certain-Flip
27016,27338,86545,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,so we have many recycling activities and i'm in in full uh support of all of them,I take an avid part in most of the recycling activities.,I take an avid part in all the recycling activities.,all the,10.3%,2,0.9908428819269414,0.9883610010147096,neutral,neutral,contradiction,neutral,entailment,0.81,0.21,0.79,True,0.6000000000000001,Uncertain-Flip
4096,4147,88315,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,"For six years, Bill Clinton has stayed alive by clinging to those entitlements.",Bill Clinton has stayed alive for six years by clinging to those entitlements.,Bill Clinton has stayed alive for six years only by clinging to those entitlements.,years only,10.74%,2,0.9974492994987536,0.9902819991111756,contradiction,contradiction,entailment,entailment,neutral,0.99,0.24,0.76,True,0.75,Uncertain-Flip
24177,24456,35070,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,In 1478 Madeira welcomed a visitor who would greatly assist the island's future wine trade.,Madeira welcomed a visitor who focused on the island's merlot trade.,Madeira welcomed a visitor who focused on the island's wine trade.,wine trade.,10.83%,2,0.9880360723313164,0.9866183996200562,neutral,neutral,contradiction,neutral,entailment,1.0,0.23,0.77,True,0.77,Uncertain-Flip
19264,19487,47494,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,"This will be seen clearly in Section 4, where the profitability of rural delivery is calculated for each quintile.","In section 4 it will be clear, because it explains the profitability of rural delivery is calculated for each quintile.","In section 4 it will be clear, because it explains the profitability of rural delivery is calculated for each quintiles.",rural quintiles.,9.94%,3,0.9962999785731576,0.9946496486663818,contradiction,contradiction,neutral,entailment,neutral,0.52,0.46,0.54,True,0.06,Uncertain-Flip
26904,27226,93131,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,because since i'm an international student they want to send me back to Argentina well my dad wants me to go back so,I'm an international student so they want to send me to Argentina where my family lives.,I'm an international student so they want to send me to Argentina where my father lives.,father,10.23%,2,0.9964618053300592,0.9941799640655518,neutral,neutral,entailment,neutral,entailment,0.99,0.29,0.71,True,0.7,Uncertain-Flip
11544,11684,78006,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,"Inland from the Konak Mosque is Izmir's bazaar, one of the best in Turkey.",One of the best markets in Turkey is found in Konak Mosque.,One of the best shops in Turkey is found in Konak Mosque.,shops in,9.86%,5,0.9850458416806572,0.9914935827255248,entailment,entailment,contradiction,contradiction,entailment,0.76,0.1,0.61,True,0.66,Uncertain-Flip
2143,2169,9723,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,The analysis describes and illustrates the impact of the rule on various types of rural and urban hospitals.,There is an analysis which includes both rural and urban hospitals.,There is an analysis which includes both rural and urban hospitals only.,hospitals only.,9.97%,2,0.9974290050653399,0.9891741275787354,contradiction,contradiction,entailment,entailment,neutral,0.99,0.22,0.68,True,0.77,Uncertain-Flip
18811,19030,35865,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,User awareness is essential to successfully implementing information security policies and ensuring that related controls are working properly.,User awareness of a healthcare team in handling medical records is essential to successfully implementing HIPPA information security policies and ensuring that related controls are working properly.,User awareness of a healthcare team in handling medical records is essential to successfully implementing HIPPA and ensuring that related controls are working properly.,,10.3%,2,0.9939497853287992,0.9899859428405762,neutral,neutral,contradiction,neutral,contradiction,1.0,0.44,0.53,True,0.56,Uncertain-Flip
19259,19482,47494,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,"This will be seen clearly in Section 4, where the profitability of rural delivery is calculated for each quintile.","In section 4 it will be clear, because it explains the profitability of rural delivery is calculated for each quintile.","In section 4, it will be clear, because it explains the profitability of rural delivery is calculated for each quintile.","In section 4,",10.1%,4,0.9979613455604862,0.9939569234848022,contradiction,contradiction,neutral,entailment,neutral,0.52,0.43,0.57,True,0.09000000000000002,Uncertain-Flip
20487,20719,22716,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,that's right you you know that could be worth ten thousand dollars so,I think that could be worth around ten thousand dollars but there is not much of a market for it.,I think that could be worth around ten hundred dollars but there is not much of a market for it.,hundred dollars but,10.23%,3,0.9993358981632796,0.9957797527313232,neutral,neutral,entailment,neutral,contradiction,1.0,0.28,0.72,True,0.72,Uncertain-Flip
6400,6474,88782,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,The preamble to the final rule contains an explanation of the need for the information and the burden estimates relating to each section of the rule.,The preamble to the final rule has an explanation for the necessity of information and burden estimates for every rule section. ,The preamble to the final rule only has an explanation for the necessity of information and burden estimates for every rule section.,rule only,10.06%,2,0.9991168556939328,0.9871572852134703,contradiction,contradiction,entailment,entailment,contradiction,0.99,0.1,0.74,True,0.89,Uncertain-Flip
11378,11518,59160,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,"Further north, the British gradually gained the upper hand over their rivals, now including the French, for the Bengali trade that was to create Calcutta.","Up North, the British gained the upper hand over their rivals and secured the Bengali trade which would create Calcutta and lead to the spice trade.","Up North, the British gained the upper hand over their rivals and secured the Bengali trade which would create Calcutta and lead to the French trade.",French,10.28%,1,0.9959043928464532,0.9911839962005616,neutral,neutral,entailment,neutral,entailment,1.0,0.18,0.57,True,0.8200000000000001,Uncertain-Flip
22590,22851,56581,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,"If war does erupt, it may not be contained as it was in Bosnia.",A second war in Bosnia is also likely to happen at some point.,A second war in Bosnia is also possible to happen at some point.,possible to,10.51%,2,0.9965397720800501,0.9871869683265686,neutral,neutral,entailment,neutral,entailment,0.9,0.39,0.61,True,0.51,Uncertain-Flip
26793,27113,9858,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,John McCain stipulated that it is the media and the American people who decide what questions should be asked.,John McCain thinks that the media and regular American people should discuss the questions that will be asked.,John McCain thinks that the media and regular American people should discuss what questions will be asked.,what questions,10.92%,1,0.9970333879264244,0.9909740090370178,neutral,neutral,contradiction,neutral,entailment,0.85,0.45,0.54,True,0.4,Uncertain-Flip
5064,5124,1875,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,and Providence is only like a dozen miles from from where i am,Providence is approximately a dozen miles from where he is.,Providence is approximately twenty miles from where he is.,twenty,10.43%,1,0.9854565929754244,0.9865790605545044,contradiction,contradiction,entailment,entailment,contradiction,0.98,0.27,0.39,True,0.71,Uncertain-Flip
11731,11873,33716,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,"So Edgar Jr. will fail in Hollywood, but when he does, it won't be the failure of a romantic.","When Edgar Jr. fails in Hollywood, it will represent a certain type of failure.","When Edgar Jr. fails in Hollywood, it will represent a certain type of fail.",of fail.,10.01%,2,0.9953936364589392,0.9950557947158812,neutral,neutral,contradiction,entailment,contradiction,0.43,0.39,0.43,True,0.03999999999999998,Uncertain-Flip
21223,21469,55951,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,"Without the force of government behind them, Pol Pot would have been fairly harmless and Hitler, a third-rate artist.","Hitler and Pol Pot did not turn their countries into war-mongering dictatorships on their own, their governments willingly helped them.","Hitler and Pol Pot did not turn their countries into war-mongering dictatorships on their own, their governments helped them.",governments,10.65%,1,0.9977401321267688,0.9972227811813354,neutral,neutral,entailment,neutral,entailment,0.76,0.29,0.71,True,0.47,Uncertain-Flip
21891,22141,9157,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,And I venture to think your poor lady would have felt the same. ,I dare say that your significant other would have been feeling the same way right now.,I dare say that your significant other would have been feeling exactly the same way right now.,exactly the same,10.08%,3,0.9988243027835356,0.9945259690284728,neutral,neutral,entailment,entailment,neutral,0.56,0.33,0.67,True,0.23000000000000004,Uncertain-Flip
8668,8772,64579,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,"The primary place of worship was the Temple of Seti I, which even today is an impressive sight.","The Temple of Seti I has weathered the passage of time considerably well, and remains beautiful and inspiring.","The Temple of Seti I has weathered the passage of time considerably well, but is still beautiful and inspiring.",but is still beautiful,10.15%,2,0.9940174742387796,0.9878507256507874,contradiction,contradiction,entailment,entailment,neutral,0.82,0.46,0.54,True,0.35999999999999993,Uncertain-Flip
14845,15021,20795,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,", people who don't exist) are suitable candidates for Jedi knighthood (perhaps Yoda will enlarge his definition of fear in subsequent episodes).",Yoda might enlarge his definition of fear in later episodes.,Yoda might enlarge his definition of fear in later episodes of the series.,of episodes the series.,10.22%,2,0.9794155935988416,0.9871284961700441,neutral,neutral,entailment,entailment,neutral,0.99,0.4,0.6,True,0.59,Uncertain-Flip
4777,4836,70218,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,"We'll make a fire."" In a few minutes the little fire of twigs and leaves was blazing merrily.",The fire took a few minutes for them to start.,The fire took a couple of minutes for them to start.,couple of,10.32%,2,0.9937777783109693,0.9935641884803772,neutral,neutral,entailment,neutral,entailment,0.52,0.43,0.49,True,0.09000000000000002,Uncertain-Flip
8225,8325,7084,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,"In this simplified depiction of the production process, capital and labor are the basic inputs used to produce goods and services.","In this depiction of the production process, inputs produce outputs for the manufacturing sector.","In this depiction of the production process, inputs produce outputs for the sector.",the,10.19%,2,0.994144817630852,0.989482045173645,neutral,neutral,contradiction,neutral,entailment,0.99,0.44,0.56,True,0.55,Uncertain-Flip
12393,12541,25650,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,"Advocates from programs in New York, Georgia, Virginia, and North Carolina mentioned housing as an issue for which H-2A workers sought legal assistance.",H-2A workers actively seek legal assistance when it comes to housing issues.,H-2A workers actively seek legal assistance when it comes to housing,housing,9.98%,4,0.988521130793494,0.9866245985031128,neutral,neutral,entailment,entailment,neutral,0.73,0.47,0.53,True,0.26,Uncertain-Flip
8114,8213,79029,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,i'll be looking forward to to like i say with a Winnebago because as the older you get the less things you want to do,You are able to do less things you want to do the older you get.,You are able to do less things you want to do the younger you get.,you younger,10.28%,2,0.9981360816731516,0.9887093305587769,contradiction,contradiction,entailment,entailment,contradiction,0.98,0.15,0.76,True,0.83,Uncertain-Flip
7919,8018,67373,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,About 50% of the population is still under 20 years of age.,Fourty percent of the population is between the ages of twenty-one and thirty-three.,Fourty percent of the population is under the ages of twenty-one and thirty-three.,population is under,10.57%,2,0.9936927700091396,0.987420916557312,neutral,neutral,contradiction,entailment,contradiction,0.55,0.24,0.4,True,0.31000000000000005,Uncertain-Flip
23910,24186,97352,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,The buyer was taken off the finance-contract hook.,The buyer was at one point on a finance-contract hook.,The buyer was at one point on a finance-,,10.24%,1,0.9462891997811947,0.9372478127479552,contradiction,contradiction,entailment,entailment,entailment,0.98,0.96,0.96,False,0.020000000000000014,Certain-Same
19772,20000,88541,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,yeah whether he's guilty or not yeah that's true,Whether or not he committed the crime that is true.,Whether or not he committed the crime that is.,is.,10.64%,1,0.9946838547556162,0.9329098463058472,contradiction,contradiction,entailment,entailment,entailment,0.98,0.98,0.98,False,0.0,Certain-Same
17245,17445,23007,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,yeah i see what you're saying there is less character development rather just the the the funniness of the gag rather than,There's too much slapstick and not enough character development.,There's too much slapstick and not.,not.,10.48%,2,0.9726886267208802,0.9353544116020204,neutral,neutral,entailment,neutral,neutral,0.91,0.89,0.89,False,0.020000000000000014,Certain-Same
1529,1548,88921,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,"He dramatizes right up to the point where a dramatist would be expected to provide some insight--and then, hey, he's a documentarian.",He is able to craft dramatic and documentary styles together.,He is able to craft dramatic and.,and.,10.98%,1,0.966040773930586,0.9340060353279114,contradiction,contradiction,neutral,entailment,entailment,0.86,0.94,0.94,False,0.07999999999999996,Certain-Same
7692,7786,67511,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,"This tiny, wood-panelled room is covered all over with lacquered paintings of flowers and fruit in rococo style.",There are paintings of flows and fruit all over the tiny wood panelled room.,There are paintings of flows and fruit all over the tiny.,tiny.,11.04%,1,0.9576021512143856,0.9305506944656372,contradiction,contradiction,neutral,entailment,entailment,0.99,0.99,0.99,False,0.0,Certain-Same
2156,2183,9723,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,The analysis describes and illustrates the impact of the rule on various types of rural and urban hospitals.,There is an analysis which includes both rural and urban hospitals.,"There are many types of hospitals, which includes both rural and urban hospitals.","are many types of hospitals,",10.25%,1,0.9447938127895179,0.9296339154243468,contradiction,contradiction,neutral,entailment,entailment,0.99,0.88,0.88,False,0.11,Certain-Same
6580,6657,63727,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,"Igave a lecture on the American economy in Tel Aviv, Israel, last month.",I gave everyone in the audience a free torch which represented lighting the way.,I gave everyone in the audience a free torch which represented                .,   .,10.35%,1,0.986258752713117,0.9309543967247008,entailment,entailment,neutral,neutral,neutral,0.78,0.89,0.89,False,0.11,Certain-Same
6794,6873,85988,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,Others blame him for today's news media's voyeurism and disapprove of his borderline ethics (he composed scenes that he passed off as spontaneous).,Some people say he's what made the news respectful.,Some say his ethics 's what made the news respectful.,say his ethics,10.19%,1,0.9755344887744972,0.9365838170051576,entailment,entailment,neutral,contradiction,contradiction,0.99,0.99,0.99,False,0.0,Certain-Same
3811,3859,26994,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,"It provides an in-depth review of work activities and tasks, through activity analysis, which aggregate to form processes for agency program delivery.",Work activities are reviewed on a small-scale level.,Work activities are reviewed on a small-                .,   .,10.2%,1,0.9389404857944414,0.8892732262611389,neutral,neutral,contradiction,neutral,neutral,0.95,0.9,0.9,False,0.04999999999999993,Certain-Same
16697,16894,67565,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,3 examines the long-term outlook for federal government saving/dissaving.,1 and 2 examine different features of a similar subject.,and 2 examine the long-term outlook of a similar subject.,the long-term outlook,10.8%,1,0.9219608507087472,0.9337728023529052,neutral,neutral,contradiction,neutral,neutral,0.99,0.87,0.87,False,0.12,Certain-Same
4778,4837,70218,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,"We'll make a fire."" In a few minutes the little fire of twigs and leaves was blazing merrily.",The fire took a few minutes for them to start.,The leaves were dry and it took a few minutes for them to start.,leaves were dry and it,10.33%,2,0.9711560666305652,0.9263930320739746,neutral,neutral,entailment,neutral,neutral,0.52,0.99,0.99,False,0.47,Certain-Same
13861,14027,55409,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,Costs and Volumes with 25% of Non-Delivery Institutional Costs Long-Run Variable,Educational institutional costs are variable in the long-term.,Educational institutional costs are variable in the long-                .,   .,10.4%,1,0.9662617154881032,0.9223030805587769,neutral,neutral,contradiction,neutral,neutral,0.86,0.86,0.86,False,0.0,Certain-Same
378,383,10462,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,"However, in HCFA's view, its publication of the full text of the analysis with the proposed rule satisfied the",The publication of the text satisfies the rules in HCFA's view.,The publication of the full text with the proposed rules in HCFA's view.,the full text with proposed,10.39%,2,0.9774732694561412,0.9311730265617372,contradiction,contradiction,entailment,entailment,entailment,0.99,0.99,0.99,False,0.0,Certain-Same
21853,22103,35871,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,"And as anyone who has read John Maynard Keynes can tell you, when desired savings consistently exceed willing investment, the result is a permanent recession.","When savings are more than investment, it is a recession.","When savings are more than investment, it.",it.,11.03%,1,0.9770808677099184,0.9333789348602296,contradiction,contradiction,neutral,entailment,entailment,0.99,0.92,0.92,False,0.06999999999999995,Certain-Same
12893,13046,86290,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,and so they go you know who who who what does it matter who i vote for,The person I voted for is of concern and might be an issue.,"The person I voted for is important, but who I vote for might be an issue.","I for important, but who vote",10.52%,1,0.9791673215111932,0.931085765361786,neutral,neutral,contradiction,neutral,neutral,0.96,0.95,0.95,False,0.010000000000000007,Certain-Same
4906,4965,2967,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,FHWA implemented a balanced approach to managing its senior executive performance in response to its 1999 employee satisfaction survey.,Only the survey was responsible for bringing out the change.,Only the survey was responsible for bringing.,bringing.,11.19%,1,0.9832368163134464,0.9231269955635072,neutral,neutral,contradiction,neutral,neutral,0.98,0.87,0.87,False,0.11,Certain-Same
2203,2230,50474,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,What do I owe you more'n the thanks of a mighty tired man you've turned out brand new again? He smiled and was suddenly all boy.,I owe you absolutely nothing and you've made me feel worse.,I owe you absolutely nothing and you've made.,made.,10.92%,1,0.9880279416599757,0.9314216375350952,entailment,entailment,neutral,contradiction,contradiction,0.99,0.97,0.97,False,0.020000000000000014,Certain-Same
