,Worker,flip-class,hypoID,hypothesis,mask-type,model-label,orig-prob,premID,premise,response,model-wrong
201,A2C84POENS2UNY,Certain-Same,1115.0,There is no reliable way to determine if someone abuses alcohol.,data-slices,contradiction,1.0,1886.0,Screening undertaken using clinical impression or biochemical tests is not as accurate or as sensitive as structured questionnaires for identifying alcohol use disorders or problematic consumption.,neutral,True
201,A2C84POENS2UNY,Uncertain-Same,1116.0,There is no surefire way to determine if someone abuses alcohol.,data-slices,contradiction,1.0,1886.0,Screening undertaken using clinical impression or biochemical tests is not as accurate or as sensitive as structured questionnaires for identifying alcohol use disorders or problematic consumption.,neutral,True
75,A30HUZHJBOX1LK,Uncertain-Flip,11636.0,"That sounds like fun, that was actually one of my ideas as well.",content-words,entailment,0.99,2207.0,that does sound like fun well i've gotten some good ideas from you,neutral,True
339,A30HUZHJBOX1LK,Uncertain-Same,6609.0,There is no other way to ask for a physical menu to look at.,gradient,contradiction,1.0,2289.0,"If you want to look at the actual menu and see what else is offered, then you should ask for  la carta.  ",neutral,True
366,A30HUZHJBOX1LK,Uncertain-Same,7562.0,That is how they want the whole world to be.,gradient,entailment,0.99,2655.0,yeah yeah yeah and that they they think the whole world is like that,neutral,True
366,A30HUZHJBOX1LK,Uncertain-Same,7571.0,That is the way they want the whole world to be.,gradient,entailment,0.99,2655.0,yeah yeah yeah and that they they think the whole world is like that,neutral,True
150,A2EI075XZT9Y2S,Uncertain-Flip,1698.0,A layperson that represents himself will always have the power of subpoena.,data-slices,entailment,1.0,2923.0,That evidence can include corroborative witnesses -- and even a layperson representing himself has the power of subpoena to require testimony.,neutral,True
150,A2EI075XZT9Y2S,Uncertain-Same,1701.0,A layperson that represents himself does not always have the power of subpoena.,data-slices,contradiction,1.0,2923.0,That evidence can include corroborative witnesses -- and even a layperson representing himself has the power of subpoena to require testimony.,neutral,True
426,A30HUZHJBOX1LK,Certain-Flip,9174.0,"He will only do it once, so you only have to ask him once.",gradient,neutral,0.96,3249.0,then you got to get him to if he's going to do it you've got to twist his arm to get him to go do it,contradiction,True
426,A30HUZHJBOX1LK,Uncertain-Flip,9175.0,He will end up doing it so you only have to ask him once.,gradient,neutral,0.96,3249.0,then you got to get him to if he's going to do it you've got to twist his arm to get him to go do it,contradiction,True
90,A2C84POENS2UNY,Uncertain-Flip,17455.0,Should one year of service be mandatory for all Americans?,content-words,neutral,0.99,3361.0,so huh what do you think should they uh should young Americans be forced to do a year of service,contradiction,True
129,A2C84POENS2UNY,Uncertain-Same,17482.0,Litigation is time consuming and results in air quality not being determined by the courts.,content-words,entailment,0.97,3363.0,"Implementation and enforcement usually requires years of litigation, leaving the fate of America's air to the uncertainties of the courtroom.",neutral,True
129,A2C84POENS2UNY,Certain-Same,17487.0,Litigation is time consuming due to the air quality being determined by the courts.,content-words,entailment,0.97,3363.0,"Implementation and enforcement usually requires years of litigation, leaving the fate of America's air to the uncertainties of the courtroom.",contradiction,True
60,A2EI075XZT9Y2S,Uncertain-Same,17793.0,I don't know what to do about what I've got.,content-words,neutral,1.0,3413.0,so i don't know i i i have no idea what to do about it,entailment,True
60,A2EI075XZT9Y2S,Uncertain-Same,17796.0,I don't know what to do about the problem I got.,content-words,neutral,1.0,3413.0,so i don't know i i i have no idea what to do about it,entailment,True
117,A2C84POENS2UNY,Certain-Flip,18126.0,I don't like any of his works that are currently out.,content-words,contradiction,0.98,3466.0,he's got several out that i like and uh matter fact,neutral,True
117,A2C84POENS2UNY,Uncertain-Same,18133.0,I like several of his songs that are currently out.,content-words,entailment,0.98,3466.0,he's got several out that i like and uh matter fact,neutral,True
48,A30HUZHJBOX1LK,Uncertain-Same,20516.0,The best view of the citadel is from a.label: neutral.,content-words,contradiction,1.0,3967.0,The best view of the whole citadel can be had from the terrace of the Jaisal Castle Hotel.,neutral,True
48,A30HUZHJBOX1LK,Uncertain-Flip,20518.0,The best view of the citadel is from a government hotel terrace.,content-words,neutral,1.0,3967.0,The best view of the whole citadel can be had from the terrace of the Jaisal Castle Hotel.,contradiction,True
309,A2C84POENS2UNY,Uncertain-Flip,12369.0,I don't want to offend you by saying you're old.,gradient,entailment,1.0,4377.0,Don't be offended because I think you're young.,contradiction,True
33,A2C84POENS2UNY,Uncertain-Same,23112.0,"What caused it? inquired Jane, as Tuppence rejoined her.",content-words,neutral,1.0,4461.0,What was it? asked Jane as Tuppence rejoined her.,contradiction,True
54,A2C84POENS2UNY,Certain-Same,23925.0,I said that speaking to the parties would.,content-words,contradiction,1.0,4614.0,(Prudie agrees that speaking directly to the parties would probably not be useful.),neutral,True
54,A2C84POENS2UNY,Uncertain-Same,23927.0,I said that speaking to the parties.,content-words,contradiction,1.0,4614.0,(Prudie agrees that speaking directly to the parties would probably not be useful.),neutral,True
54,A2C84POENS2UNY,Uncertain-Flip,23928.0,I said that speaking to the parties would probably not be useful.,content-words,entailment,1.0,4614.0,(Prudie agrees that speaking directly to the parties would probably not be useful.),neutral,True
54,A2C84POENS2UNY,Uncertain-Flip,23929.0,I said that speaking to the parties wouldn't be useful.,content-words,entailment,1.0,4614.0,(Prudie agrees that speaking directly to the parties would probably not be useful.),neutral,True
402,A2EI075XZT9Y2S,Uncertain-Same,15960.0,The most dramatic year was when they beat the A's.,gradient,entailment,0.97,5711.0,the the year they beat the As yeah that was really dramatic they were,neutral,True
402,A2EI075XZT9Y2S,Uncertain-Same,15962.0,The really dramatic moment of the season was when they beat the A's.,gradient,entailment,0.97,5711.0,the the year they beat the As yeah that was really dramatic they were,neutral,True
447,A2EI075XZT9Y2S,Certain-Flip,16002.0,Uncle Hiram told them that he had no sons.,gradient,contradiction,0.94,5728.0,Are you really Uncle Hiram's son? she asked wonderingly.,neutral,True
447,A2EI075XZT9Y2S,Uncertain-Flip,16007.0,Uncle Hiram had informed them that he had no sons.,gradient,contradiction,0.94,5728.0,Are you really Uncle Hiram's son? she asked wonderingly.,neutral,True
24,A2EI075XZT9Y2S,Uncertain-Flip,30052.0,Humans will be unable to live on the planet forever.,content-words,entailment,1.0,5851.0,and things will live on this planet but humans may not be able to anymore,neutral,True
24,A2EI075XZT9Y2S,Uncertain-Same,30053.0,"Humans will be able to live on the planet, but not forever.",content-words,contradiction,1.0,5851.0,and things will live on this planet but humans may not be able to anymore,neutral,True
24,A2EI075XZT9Y2S,Certain-Same,30058.0,Humans will be on the planet forever.,content-words,contradiction,1.0,5851.0,and things will live on this planet but humans may not be able to anymore,neutral,True
57,A2EI075XZT9Y2S,Uncertain-Flip,30141.0,Staffing issues result from other human problems.,content-words,entailment,1.0,5865.0,Another human capital issue is more structural in terms of staffing.,neutral,True
57,A2EI075XZT9Y2S,Uncertain-Flip,30147.0,Staffing issues result from other human problems in.,content-words,entailment,1.0,5865.0,Another human capital issue is more structural in terms of staffing.,neutral,True
336,A2EI075XZT9Y2S,Uncertain-Same,16756.0,I had only heard of them turning some away.,gradient,neutral,1.0,5986.0,oh i didn't even know they were turning any away,contradiction,True
441,A2C84POENS2UNY,Uncertain-Flip,17569.0,"If you're looking for independent movies, emberlita is a good place to go.",gradient,contradiction,0.94,6273.0,"There are many cinemas in Istiklal Caddesi, and a multi-screen theatre at ?‡emberlita?« in the Old Cite which show mainstream movies.",neutral,True
441,A2C84POENS2UNY,Uncertain-Same,17570.0,"If you're looking for a good movie, emberlita is a good place to go.",gradient,entailment,0.94,6273.0,"There are many cinemas in Istiklal Caddesi, and a multi-screen theatre at ?‡emberlita?« in the Old Cite which show mainstream movies.",neutral,True
423,A2C84POENS2UNY,Uncertain-Same,18129.0,Everyone knew that he wasn't really who he said he was.,gradient,contradiction,0.96,6469.0,'Is that really him?' Somebody else asked.,neutral,True
51,A2C84POENS2UNY,Uncertain-Same,33430.0,Kos is not the best place to go to find well organized dive operators.,content-words,contradiction,1.0,6504.0,Kos has some well-organised dive operators at its resorts.,neutral,True
51,A2C84POENS2UNY,Uncertain-Same,33437.0,Kos is not the best place to find well organized dive operators.,content-words,contradiction,1.0,6504.0,Kos has some well-organised dive operators at its resorts.,neutral,True
36,A2EI075XZT9Y2S,Uncertain-Same,33506.0,The IOLTA program is optional for members of the military.,content-words,contradiction,1.0,6513.0,"Pursuant to our court rules, participation in the IOLTA program is mandatory.",neutral,True
6,A2C84POENS2UNY,Certain-Same,33884.0,"The shopping street Ormos Ermou, has the energy of a Mexican.",content-words,contradiction,1.0,6606.0,"A trading town and port, its main shopping street, Ormos Ermou, still throngs with the energy of an eastern bazaar.",neutral,True
6,A2C84POENS2UNY,Uncertain-Same,33888.0,"The shopping street Ormos Ermou, has the energy of a flea market.",content-words,contradiction,1.0,6606.0,"A trading town and port, its main shopping street, Ormos Ermou, still throngs with the energy of an eastern bazaar.",neutral,True
6,A2C84POENS2UNY,Uncertain-Flip,33889.0,"The shopping street Ormos Ermou, has the energy of a large flea market.",content-words,entailment,1.0,6606.0,"A trading town and port, its main shopping street, Ormos Ermou, still throngs with the energy of an eastern bazaar.",neutral,True
6,A2C84POENS2UNY,Uncertain-Flip,33896.0,"The shopping street Ormos Ermou, has the energy of a.",content-words,entailment,1.0,6606.0,"A trading town and port, its main shopping street, Ormos Ermou, still throngs with the energy of an eastern bazaar.",neutral,True
144,A30HUZHJBOX1LK,Uncertain-Flip,34638.0,The land in France is more prosperous.,content-words,entailment,0.97,6770.0,"If the land itself is the most obvious source of French pride, the nation's cultural wealth is just as important.",neutral,True
144,A30HUZHJBOX1LK,Uncertain-Flip,34647.0,The land in France is more prosperous than the nation.,content-words,contradiction,0.97,6770.0,"If the land itself is the most obvious source of French pride, the nation's cultural wealth is just as important.",neutral,True
321,A2EI075XZT9Y2S,Uncertain-Flip,19566.0,Mother Redcap's is the best known to most people.,gradient,entailment,1.0,6997.0,"Best known, perhaps is Mother Redcap's in Back Lane (opposite Christ Church Cathedral).",neutral,True
18,A30HUZHJBOX1LK,Uncertain-Same,36136.0,Those who feel holidays aren't the same without a game are gonna have to deal with the.,content-words,contradiction,1.0,7090.0,Those who feel a holiday isn't the same without a game are welcome to tee off there.,neutral,True
18,A30HUZHJBOX1LK,Uncertain-Flip,36138.0,Those who feel holidays aren't the same without a game are gonna have to deal with.,content-words,entailment,1.0,7090.0,Those who feel a holiday isn't the same without a game are welcome to tee off there.,contradiction,True
9,A30HUZHJBOX1LK,Uncertain-Same,37018.0,The prices of airplane tickets are outrageous.,content-words,contradiction,1.0,7244.0,It is also an area favored by backpackers lured by cheap hotels and restaurants and the chance of purchasing discounted air tickets.,neutral,True
417,A2C84POENS2UNY,Uncertain-Flip,21668.0,It's hard to imagine why a government would embargo a product that is used for cosmetic surgeries.,gradient,entailment,0.97,7716.0,"It is hard to imagine, though, why any government would embargo such a product, unless the plastic surgeons' lobby has already got to them.",neutral,True
387,A2C84POENS2UNY,Uncertain-Flip,22041.0,The schedule will not be implemented in its entirely at one time.,gradient,neutral,0.98,7830.0,The major phases of the implementation schedule are discussed below.,entailment,True
387,A2C84POENS2UNY,Certain-Flip,22044.0,The schedule will be implemented in several phases at one time.,gradient,entailment,0.98,7830.0,The major phases of the implementation schedule are discussed below.,neutral,True
387,A2C84POENS2UNY,Uncertain-Same,22046.0,The schedule was discussed in its entirely at one time.,gradient,contradiction,0.98,7830.0,The major phases of the implementation schedule are discussed below.,neutral,True
348,A2C84POENS2UNY,Uncertain-Same,22216.0,It is believed that Jesus was born over the grotto.,gradient,entailment,0.99,7903.0,It is constructed over the grotto where it is believed that Mary received the news that she would bear a son and should call him Jesus.,neutral,True
315,A2C84POENS2UNY,Uncertain-Flip,22434.0,It was not the vibrant colors on the label that caught his attention.,gradient,contradiction,1.0,7978.0,But it was the label that was attracting Poirot's attention.,neutral,True
315,A2C84POENS2UNY,Uncertain-Flip,22435.0,It wasn't the vibrant colors on the label that caught his attention.,gradient,contradiction,1.0,7978.0,But it was the label that was attracting Poirot's attention.,neutral,True
114,A30HUZHJBOX1LK,Uncertain-Flip,40695.0,The VP is worried that he will not be able to get his personal schedule.,content-words,neutral,0.99,8020.0,The Vice President has also expressed concern regarding certain requests for his personal schedule.,contradiction,True
114,A30HUZHJBOX1LK,Uncertain-Same,40698.0,The VP is worried that people are going to get.,content-words,entailment,0.99,8020.0,The Vice President has also expressed concern regarding certain requests for his personal schedule.,neutral,True
81,A30HUZHJBOX1LK,Certain-Same,41260.0,The intake systems of the past are perfectly fine and don't need replacing.,content-words,contradiction,0.99,8124.0,We have observed that many more clients receive some assistance when technologically sophisticated intake systems are installed.,neutral,True
81,A30HUZHJBOX1LK,Uncertain-Same,41276.0,The systems that were installed in the past are perfectly viable and don't need replacing.,content-words,contradiction,0.99,8124.0,We have observed that many more clients receive some assistance when technologically sophisticated intake systems are installed.,neutral,True
420,A2EI075XZT9Y2S,Uncertain-Flip,23068.0,The New Disclosure Option final rule gives mutual fund.,gradient,entailment,0.97,8203.0,"The New Disclosure Option final rule permits a mutual fund to offer investors a new disclosure document called a Aprofile, which summarizes key information",neutral,True
420,A2EI075XZT9Y2S,Uncertain-Same,23070.0,The New Disclosure Option final rule gives mutual fund investors too little information.,gradient,contradiction,0.97,8203.0,"The New Disclosure Option final rule permits a mutual fund to offer investors a new disclosure document called a Aprofile, which summarizes key information",neutral,True
420,A2EI075XZT9Y2S,Certain-Flip,23074.0,The New Disclosure Option final rule gives mutual funds a little information.,gradient,entailment,0.97,8203.0,"The New Disclosure Option final rule permits a mutual fund to offer investors a new disclosure document called a Aprofile, which summarizes key information",contradiction,True
429,A2C84POENS2UNY,Uncertain-Same,23373.0,He knows who I am and wants to know.,gradient,contradiction,0.95,8284.0,"He told me, 'You don't have to tell me who you are.",neutral,True
429,A2C84POENS2UNY,Certain-Same,23377.0,The man has no idea who I am and wants to know.,gradient,contradiction,0.95,8284.0,"He told me, 'You don't have to tell me who you are.",neutral,True
108,A2C84POENS2UNY,Uncertain-Flip,43360.0,They were under his authority because he was  a great leader.,content-words,neutral,0.99,8561.0,probably so just because they were under his authority and he obviously failed somewhere along the line,contradiction,True
108,A2C84POENS2UNY,Uncertain-Flip,43365.0,They were under his control because he was  a great leader.,content-words,neutral,0.99,8561.0,probably so just because they were under his authority and he obviously failed somewhere along the line,contradiction,True
435,A2EI075XZT9Y2S,Uncertain-Flip,24357.0,The answer was that the Murderers had yelled at each other.,gradient,neutral,0.95,8646.0,"Finally, a question to which I know the  Murderers yell at each other.",contradiction,True
435,A2EI075XZT9Y2S,Uncertain-Same,24364.0,I knew the answer was that the Murderers had yelled at.,gradient,entailment,0.95,8646.0,"Finally, a question to which I know the  Murderers yell at each other.",neutral,True
435,A2EI075XZT9Y2S,Certain-Same,24366.0,I knew the answer was that the Murderers had yelled at each.,gradient,entailment,0.95,8646.0,"Finally, a question to which I know the  Murderers yell at each other.",neutral,True
96,A2C84POENS2UNY,Uncertain-Flip,44686.0,Rennie has a foster son and they entailment.,content-words,entailment,0.99,8781.0,Rennie's foster son was now riding inspection between one water-hole fortification and another.,neutral,True
141,A30HUZHJBOX1LK,Uncertain-Same,46667.0,The tomb of the Bene Hezir is the only one we know is.,content-words,entailment,0.97,9162.0,"The third tomb, which belongs to the Bene Hezir, is the only one to have been authenticated.",neutral,True
294,A2C84POENS2UNY,Uncertain-Same,4859.0,No one has a solid answer to which is cause or which is effect.,data-slices,entailment,0.95,9244.0,Which is cause and which is effect here is an open question.,neutral,True
294,A2C84POENS2UNY,Uncertain-Flip,4860.0,There is an answer to which is cause or which is effect.,data-slices,contradiction,0.95,9244.0,Which is cause and which is effect here is an open question.,neutral,True
438,A2EI075XZT9Y2S,Uncertain-Same,26190.0,No one has a solid answer to which is cause or which is effect.,gradient,entailment,0.95,9244.0,Which is cause and which is effect here is an open question.,neutral,True
438,A2EI075XZT9Y2S,Uncertain-Same,26195.0,There is no answer to which is cause or which is effect.,gradient,entailment,0.95,9244.0,Which is cause and which is effect here is an open question.,neutral,True
3,A2C84POENS2UNY,Uncertain-Flip,48515.0,You won't be able to fail to notice the niche below the staircase.,content-words,neutral,1.0,9515.0,"As you go through the gate decorated with the arms of the Ceter?­cian order, you'll notice a niche for a guard dog below the staircase.",entailment,True
3,A2C84POENS2UNY,Uncertain-Flip,48518.0,You won't be able to miss the niche below the staircase.,content-words,neutral,1.0,9515.0,"As you go through the gate decorated with the arms of the Ceter?­cian order, you'll notice a niche for a guard dog below the staircase.",entailment,True
375,A2C84POENS2UNY,Uncertain-Same,27267.0,"Jack, a coworker of mine I've know for a while, sent me an application.",gradient,entailment,0.99,9577.0,and i uh of course was i was sent a uh an application from uh from Jack i've known Jack for sometime i'm in the,neutral,True
111,A2C84POENS2UNY,Uncertain-Flip,51138.0,Parcels under 10 ounces are considered to be basic mail.,content-words,contradiction,0.99,9992.0,Basic mail also includes some parcels under 11 ounces and some non-standard pieces.,entailment,True
111,A2C84POENS2UNY,Certain-Flip,51142.0,Parcels under 11 ounces are considered to be standard mail.,content-words,contradiction,0.99,9992.0,Basic mail also includes some parcels under 11 ounces and some non-standard pieces.,neutral,True
105,A2EI075XZT9Y2S,Uncertain-Same,51921.0,Shandurai is not able to complete several of his household chores.,content-words,contradiction,0.99,10179.0,"All day, this gangling, bug-eyed oddball plays Scriabin on his grand piano while Shandurai dusts, vacuums, sews, irons, and launders.",neutral,True
78,A2C84POENS2UNY,Certain-Flip,52158.0,Interventionists are unlikely to take any steps to assess change.,content-words,contradiction,0.99,10209.0,"In assessing change, interventionists can use three markers to help  importance, confidence, and readiness.",neutral,True
78,A2C84POENS2UNY,Uncertain-Flip,52165.0,Interventionists are unlikely to take all three markers into consideration when they assess change.,content-words,contradiction,0.99,10209.0,"In assessing change, interventionists can use three markers to help  importance, confidence, and readiness.",neutral,True
45,A2EI075XZT9Y2S,Uncertain-Same,52222.0,It is a new hotel that still has a long way to go.,content-words,contradiction,1.0,10221.0,This new hotel has supplanted the national parador as the top choice in Toledo.,neutral,True
45,A2EI075XZT9Y2S,Uncertain-Same,52227.0,It is a brand new hotel that still has a long way to go.,content-words,contradiction,1.0,10221.0,This new hotel has supplanted the national parador as the top choice in Toledo.,neutral,True
72,A2C84POENS2UNY,Uncertain-Flip,53219.0,A bit of Jew in a good way isn't a terrible thing.,content-words,neutral,0.99,10397.0,A tinge of Jewish blood is not a bad thing.,entailment,True
72,A2C84POENS2UNY,Uncertain-Same,53227.0,A bit of Jew in a person isn't a.   A bit of Jew in a person isn't a.,content-words,entailment,0.99,10397.0,A tinge of Jewish blood is not a bad thing.,neutral,True
87,A2EI075XZT9Y2S,Uncertain-Flip,53578.0,Colonists suffered attacks from the British only during the First Maroon War.,content-words,neutral,0.99,10453.0,They made their settlements in the hills away from British rule but began to attack colonists in a program of raids now remembered as The First Maroon War.,contradiction,True
99,A2C84POENS2UNY,Certain-Flip,54580.0,You will be able to see a lot of mountains of sand.,content-words,contradiction,0.99,10604.0,The enormous mountain of salt you'll see comes from the La Mata and Torrevieja pans.,neutral,True
99,A2C84POENS2UNY,Certain-Flip,54583.0,You will be able to see a lot of sand.,content-words,contradiction,0.99,10604.0,The enormous mountain of salt you'll see comes from the La Mata and Torrevieja pans.,neutral,True
99,A2C84POENS2UNY,Uncertain-Flip,54585.0,You will be able to see a.label: contradiction.,content-words,contradiction,0.99,10604.0,The enormous mountain of salt you'll see comes from the La Mata and Torrevieja pans.,neutral,True
300,A30HUZHJBOX1LK,Uncertain-Flip,30650.0,"Less than 10,000 browsers visit Choose Your Slate each month.",gradient,entailment,1.0,10695.0,"Choose your  Slate attracts about 6,000 unique browsers a day and 80,000 a month.",contradiction,True
39,A30HUZHJBOX1LK,Uncertain-Flip,55057.0,"Less than 10,000 browsers visit Choose Your Slate each month.",content-words,entailment,1.0,10695.0,"Choose your  Slate attracts about 6,000 unique browsers a day and 80,000 a month.",contradiction,True
345,A2EI075XZT9Y2S,Uncertain-Flip,31628.0,It turns out that it costs less than 72 to buy $1 of dividends.,gradient,neutral,0.99,11041.0,But it turns out that to buy $1 of dividends costs you $72 (among Dow Jones industrial average stocks).,contradiction,True
345,A2EI075XZT9Y2S,Uncertain-Same,31633.0,It turns out that it costs $═ to buy $1 of dividends.,gradient,entailment,0.99,11041.0,But it turns out that to buy $1 of dividends costs you $72 (among Dow Jones industrial average stocks).,neutral,True
405,A30HUZHJBOX1LK,Uncertain-Flip,31664.0,There is some fun not to be had in Griffith Park.,gradient,contradiction,0.97,11045.0,"Several other attractions are nearby, all in Griffith Park, including train, pony, and stagecoach rides, a carousel, and the Griffith Observatory.",neutral,True
66,A2EI075XZT9Y2S,Uncertain-Flip,57282.0,The temperatures in winter time are high enough to create ice.,content-words,entailment,0.99,11101.0,In the winter the falls form a spectacular cascade of icicles.,contradiction,True
66,A2EI075XZT9Y2S,Uncertain-Same,57285.0,The temperatures in winter time are not enough.,content-words,contradiction,0.99,11101.0,In the winter the falls form a spectacular cascade of icicles.,neutral,True
126,A2C84POENS2UNY,Uncertain-Flip,58201.0,Is there no common cause with the major international puzzles?,content-words,contradiction,0.98,11294.0,The Six Major Puzzles in International  Is There a Common Cause?,neutral,True
126,A2C84POENS2UNY,Uncertain-Same,58207.0,Is there a common problem with the major international puzzles?,content-words,entailment,0.98,11294.0,The Six Major Puzzles in International  Is There a Common Cause?,neutral,True
126,A2C84POENS2UNY,Uncertain-Same,58209.0,Is there a common cause with the?,content-words,entailment,0.98,11294.0,The Six Major Puzzles in International  Is There a Common Cause?,neutral,True
378,A2EI075XZT9Y2S,Uncertain-Same,32530.0,She wasn't foolish enough to not turn her back on him.,gradient,contradiction,0.99,11303.0,"We entered your sign during the night."" She turned her back on him and took something from a chest beside the bed.",neutral,True
378,A2EI075XZT9Y2S,Uncertain-Flip,32532.0,She wasn't foolish and turned her back on him.,gradient,entailment,0.99,11303.0,"We entered your sign during the night."" She turned her back on him and took something from a chest beside the bed.",neutral,True
93,A2C84POENS2UNY,Uncertain-Same,58786.0,The Franciscan monastery has an atmospheric part built in the.label: neutral.,content-words,entailment,0.99,11410.0,The atmospheric place was part of a Franciscan monastery built in the 17th century.,neutral,True
93,A2C84POENS2UNY,Uncertain-Same,58806.0,The Franciscan monastery has an atmosphere because it was built in the 17th century.,content-words,entailment,0.99,11410.0,The atmospheric place was part of a Franciscan monastery built in the 17th century.,neutral,True
411,A30HUZHJBOX1LK,Certain-Flip,32838.0,I had one pickup truck and gave the other on away.,gradient,contradiction,0.97,11422.0,yeah that's i i had a pickup truck in fact i had i had two the last one i gave to my uh uh youngest,entailment,True
411,A30HUZHJBOX1LK,Uncertain-Same,32840.0,"I had two pickup trucks, I bought one and gave the other on away.",gradient,entailment,0.97,11422.0,yeah that's i i had a pickup truck in fact i had i had two the last one i gave to my uh uh youngest,neutral,True
132,A30HUZHJBOX1LK,Uncertain-Same,59528.0,The court system is only open to observers for a year.,content-words,contradiction,0.97,11535.0,"The court system is open to observers, with very few exceptions, and such an opportunity ought not be missed.",neutral,True
132,A30HUZHJBOX1LK,Uncertain-Same,59532.0,The court system is only open to observers three.,content-words,contradiction,0.97,11535.0,"The court system is open to observers, with very few exceptions, and such an opportunity ought not be missed.",neutral,True
132,A30HUZHJBOX1LK,Certain-Same,59539.0,The court system is only open to observers a few days a year.,content-words,contradiction,0.97,11535.0,"The court system is open to observers, with very few exceptions, and such an opportunity ought not be missed.",neutral,True
369,A2EI075XZT9Y2S,Uncertain-Same,33237.0,"San'doro stabbed them deep, twisted, moved them, and then pulled them free in opposite directions.",gradient,entailment,0.99,11551.0,"San'doro stabbed them deep, twisted, and then pulled apart in opposite directions.",neutral,True
369,A2EI075XZT9Y2S,Certain-Same,33238.0,"San'doro stab them deep, moved them, and then pulled them free in opposite directions.",gradient,entailment,0.99,11551.0,"San'doro stabbed them deep, twisted, and then pulled apart in opposite directions.",neutral,True
