HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.premise,Input.hypothesis,Input.cid,Input.hid,Answer.correct,Answer.incorrect,Answer.maybe,Answer.problems,Approve,Reject
30P8I9JKOJN5QIRKWOCQT80XTWX5VQ,3XA69K8C5YP36GZPE3KQW0ZI5UGW1H,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$0.75,Fri Apr 17 08:59:24 PDT 2020,1,BatchId:3998337;OriginalHitTemplateId:;,18000,86400,Fri Apr 24 08:59:24 PDT 2020,,,3ATPCQ38J9CMM2W0MXVSW2GYZMDYA6,A1SX8IVV82M0LW,Approved,Fri Apr 17 08:59:30 PDT 2020,Fri Apr 17 09:02:11 PDT 2020,Sat Apr 18 09:02:11 PDT 2020,Sat Apr 18 09:02:44 PDT 2020,,,161,100% (1369/1369),100% (130/130),100% (130/130),"Wiccans, Druids, shamans, goddess-worshippers and people who revere members of the ancient lineup of Roman, Greek, Egyptian and Celtic deities are showing up online and in public more often these days.","Unlike other college fraternities and sororities, black Greek letter organizations include undergraduates, graduate students and professionals who join later in life.",APW_ENG_20000925.0040_3_0,LTW_ENG_20090820.0117_12_0,Wiccans show up online and in public more often recently.,Druids are preferring to stay home recently.,People who are revering members of ancient deities are making theirselves more known in public.,{},,
30QQTY5GMLMK07G3FRHIV6CA6VIU74,3XA69K8C5YP36GZPE3KQW0ZI5UGW1H,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$0.75,Fri Apr 17 08:59:36 PDT 2020,1,BatchId:3998337;OriginalHitTemplateId:;,18000,86400,Fri Apr 24 08:59:36 PDT 2020,,,3B837J3LDPYHPX68P2PP96H7I55RST,A2M1CVZZJAN4T4,Approved,Fri Apr 17 09:14:03 PDT 2020,Fri Apr 17 12:04:01 PDT 2020,Sat Apr 18 12:04:01 PDT 2020,Sat Apr 18 12:04:44 PDT 2020,,,10198,100% (351/351),100% (56/56),100% (56/56),"As for other steps the ministry has so far taken to solve the problem, Majogo said that last March his ministry made direct consultations with the Ministry of Finance, from which it got 350 million shillings (about 400,000 dollars).",Khu admitted that his ministry has made little progress in SoEs equitization with the number of equitized SoEs limited at just more than 40 out of the more than 300 run by the ministry.,XIN_ENG_20010620.0201_4_0,XIN_ENG_20030119.0118_1_0,"350 million shillings are about 400,000 dollars.",The Ministry of Finance denied to give 350 million shillings to the ministry.,Majogo is being criticized for his lack of commitment to solving the problem.,{},,
30Y6N4AHYQY81OPW2APZQNZML7HRDQ,3XA69K8C5YP36GZPE3KQW0ZI5UGW1H,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$0.75,Fri Apr 17 08:59:30 PDT 2020,1,BatchId:3998337;OriginalHitTemplateId:;,18000,86400,Fri Apr 24 08:59:30 PDT 2020,,,3LJ7UR74RIFD8EC56UCQ2JWR3V34N7,A3EUGO4VR2N4G1,Approved,Fri Apr 17 22:20:16 PDT 2020,Sat Apr 18 02:30:52 PDT 2020,Sun Apr 19 02:30:52 PDT 2020,Sun Apr 19 02:31:44 PDT 2020,,,15036,100% (97/97),100% (97/97),100% (46/46),"Nearly every day in recent years, when I lived on the Upper West Side in New York City, I walked through Central Park and past the Dakota where John Lennon was killed, then strolled across the lobby of the Ansonia, a majestic and legendary hotel/apartment building where bank robber Willie Sutton was arrested, where Jack Dempsey, Florenz Ziegfeld, Tony Curtis, Enrico Caruso and Walter Matthau in ""The Sunshine Boys"" resided, where Bette Midler and Barry Manilow made their big splash at The Continental Baths, where the idea for the 1919 Black Sox scandal was formulated and where Babe Ruth lived for years after he was traded from the Red Sox to the Yankees in 1920.","``Holman was born on the Lower East Side of Manhattan in 1896, just five years after basketball was invented, and in the 1920s he became to basketball what Babe Ruth was to baseball, Louis Armstrong to jazz, Darrow to defense and Houdini to handcuffs,'' Berkow writes.",NYT_ENG_20070714.0133_2_0,NYT_ENG_19970728.0540_10_0,"Nearly every day, the author walked past a lot of famous history.",Nothing interesting or noteworthy has ever happened in New York City.,There are plaques around the city marking the famous occurences.,{},,
30ZKOOGW2X8MACN3K6JIUV93W6R1A3,3XA69K8C5YP36GZPE3KQW0ZI5UGW1H,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$0.75,Fri Apr 17 08:59:32 PDT 2020,1,BatchId:3998337;OriginalHitTemplateId:;,18000,86400,Fri Apr 24 08:59:32 PDT 2020,,,3IXEICO793LPIEL3MERH8GMXO2I6TE,AYJGQBBK6KXZ7,Approved,Fri Apr 17 12:26:44 PDT 2020,Fri Apr 17 14:26:47 PDT 2020,Sat Apr 18 14:26:47 PDT 2020,Sat Apr 18 14:27:44 PDT 2020,,,7203,100% (50/50),100% (50/50),100% (50/50),"The Southern African Development Community (SADC) should step in to save the deteriorating economy of Zimbabwe, South Africa's foreign minister said Tuesday.",The Southern African Development Community (SADC) has appealed for international donations to help in eradicating cattle lung sickness in the region.,AFP_ENG_20070710.0388_0_0,CNA_ENG_19971113.0027_0_0,South Africa's foreign minister wants the SADC to intervene and bail out Zimbabwe.,The foreign minister of South Africa thinks Zimbabwe should be left on its own to implode with no help from others.,"Because Zimbabwe lacks resources to do it on its own, South Africa's foreign minister wants the SADC to help them.",{},,
311HQEI8RTI1M6ADLEGQCYRP8DXZ7Y,3XA69K8C5YP36GZPE3KQW0ZI5UGW1H,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$0.75,Fri Apr 17 08:59:34 PDT 2020,1,BatchId:3998337;OriginalHitTemplateId:;,18000,86400,Fri Apr 24 08:59:34 PDT 2020,,,3KXIR214I5IHJSNCKBE6AVTTS0C24E,A3EUGO4VR2N4G1,Approved,Fri Apr 17 22:20:15 PDT 2020,Sat Apr 18 02:18:28 PDT 2020,Sun Apr 19 02:18:28 PDT 2020,Sun Apr 19 02:18:44 PDT 2020,,,14293,100% (97/97),100% (97/97),100% (46/46),"``Most diseases relate to loss of memory, trembling, gastrointestinal, renal disorders, skin allergies,'' said Dr Amit Nair, a toxicology expert on the tribunal, who based his findings on a public hearing in Kodaikanal last year attended by some 160 ex-workers and subsequent examination of workers.","Last year, 4,681 dogs and cats passed through the quarantine system, which includes satellite facilities on other islands, said Dr. Isaac Maeda, a veterinarian and the manager of the state's rabies quarantine program.",APW_ENG_20030611.0396_12_0,NYT_ENG_20030630.0078_6_0,Dr. Amit Nair is an expert in toxicology.,Most diseases are caused by lack of blood being pumped by the heart.,The members of the hearing came up with a list of solutions to minimize the risk of diseases.,{},,
31GECDVA9KOGUWCX0ZEN9MYY8YH66G,3XA69K8C5YP36GZPE3KQW0ZI5UGW1H,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$0.75,Fri Apr 17 08:59:31 PDT 2020,1,BatchId:3998337;OriginalHitTemplateId:;,18000,86400,Fri Apr 24 08:59:31 PDT 2020,,,373ERPL3YPAI4XJNE2UFJBDTKOQTRR,A1SX8IVV82M0LW,Approved,Fri Apr 17 13:16:33 PDT 2020,Fri Apr 17 14:01:18 PDT 2020,Sat Apr 18 14:01:18 PDT 2020,Sat Apr 18 14:01:44 PDT 2020,,,2685,100% (1369/1369),100% (130/130),100% (130/130),"Different factions of Mujahidin, or holy fighters, were engaged in a fierce civil war between 1992 and 1994, destroying much of the country, after the withdrawal of the Soviet occupation from Afghanistan in 1989.","Different Mujahidin groups were engaged in a fierce civil war between 1992 and 1994, destroying much of the country, after the Soviet withdrawal in 1989.",XIN_ENG_20031218.0149_4_0,XIN_ENG_20031218.0014_3_0,The holy fighters were involved in a civil war for 2 years.,The holy fighters were wiped out in 1994.,The holy fighters were suppressed by the Soviets before 1989.,{},,
31GN6YMHLQUJB9P0YUUU8LT3EP6WSS,3XA69K8C5YP36GZPE3KQW0ZI5UGW1H,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$0.75,Fri Apr 17 08:59:32 PDT 2020,1,BatchId:3998337;OriginalHitTemplateId:;,18000,86400,Fri Apr 24 08:59:32 PDT 2020,,,3WMOAN2SRCZC2RVKQQDDB9W4GDRVNX,A1E77HZO63E334,Approved,Fri Apr 17 13:09:48 PDT 2020,Fri Apr 17 13:15:41 PDT 2020,Sat Apr 18 13:15:41 PDT 2020,Sat Apr 18 13:15:44 PDT 2020,,,353,100% (61/61),100% (61/61),100% (61/61),"In a widely expected decision, the Bank of Japan policy board voted unanimously Tuesday to keep the uncollateralized overnight call rate at 0.5 percent for the 20th straight month.",Its nine-member Policy Board voted unanimously for keeping the rate unchanged for the 16th consecutive month.,APW_ENG_20081007.0191_1_0,XIN_ENG_20080613.0010_1_1,The Bank of Japan has kept the uncollateralized overnight call rate at 0.5 percent.,The uncollateralized call rate is 1.0 percent.,The Bank of Japan used to frequently change the uncollateralized overnight call rate.,{},,
31J7RYECZMS36VE7HX8839PEQIQ1LL,3XA69K8C5YP36GZPE3KQW0ZI5UGW1H,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$0.75,Fri Apr 17 08:59:34 PDT 2020,1,BatchId:3998337;OriginalHitTemplateId:;,18000,86400,Fri Apr 24 08:59:34 PDT 2020,,,3TYCR1GOTDL3NBX9FAM1JN5BZSGLZ2,A1RDRK3QTM7U96,Approved,Fri Apr 17 08:59:36 PDT 2020,Fri Apr 17 12:43:17 PDT 2020,Sat Apr 18 12:43:17 PDT 2020,Sat Apr 18 12:43:44 PDT 2020,,,13421,100% (3/3),100% (3/3),100% (3/3),"Since North Korea's deadly artillery attack on a South Korean island last month, top officials in Washington have described China as an enabler for Pyongyang's aggressions - providing aid but little influence, calling for peace on the Korean peninsula but rarely condemning the North's behavior.","South Korean officials have requested that Washington delay its troop cut plan for more than one year, citing the standoff over the nuclear issue on the Korean Peninsula.",WPB_ENG_20101209.0062_2_0,XIN_ENG_20040920.0011_5_0,Washington named China as an enabler of Pyongyang's attacks.,"North Korea's attack, while destructive, did not claim any lives.",Top officials in Washington also called for China to step in and do more.,{},,
31JUPBOORO6LHVYSGIHNIJCM4OW8LC,3XA69K8C5YP36GZPE3KQW0ZI5UGW1H,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$0.75,Fri Apr 17 08:59:35 PDT 2020,1,BatchId:3998337;OriginalHitTemplateId:;,18000,86400,Fri Apr 24 08:59:35 PDT 2020,,,3DY4FPOOA2QXHPNCJXUUKT1EH9ZRVY,A272X64FOZFYLB,Approved,Fri Apr 17 08:59:50 PDT 2020,Fri Apr 17 12:27:04 PDT 2020,Sat Apr 18 12:27:04 PDT 2020,Sat Apr 18 12:27:44 PDT 2020,,,12434,100% (686/686),100% (37/37),100% (37/37),"``It was pretty simple, really,'' Pepperdine coach Paul Westphal said.","``It was anyone's game,'' Sonics coach Paul Westphal said.",NYT_ENG_20020314.0426_4_0,NYT_ENG_20000125.0017_22_0,Paul Westphal is the coach for Pepperdine.,Paul Westphal said that it was actually quite difficult.,Paul Westphal coaches men's basketball at Pepperdine.,{},,
31KSVEGZ35U7AUPNJ5UPIBO7SNNWR4,3XA69K8C5YP36GZPE3KQW0ZI5UGW1H,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$0.75,Fri Apr 17 08:59:32 PDT 2020,1,BatchId:3998337;OriginalHitTemplateId:;,18000,86400,Fri Apr 24 08:59:32 PDT 2020,,,3VSOLARPKCB71GP756O2AD91K3193X,A1SX8IVV82M0LW,Approved,Fri Apr 17 09:00:34 PDT 2020,Fri Apr 17 10:54:43 PDT 2020,Sat Apr 18 10:54:43 PDT 2020,Sat Apr 18 10:54:44 PDT 2020,,,6849,100% (1369/1369),100% (130/130),100% (130/130),"A group led by Abu Musab al-Zarqawi, the most wanted man in  Iraq, claimed responsibility for suicide attacks on several polling stations in the capital and other parts of the country,  which  caused some casualties.","The group of Zarqawi, considered to be the top Al-Qaeda  operative in Iraq, has taken credit for some of the most violent  attacks in the war-torn country.",XIN_ENG_20050130.0127_5_0,AFP_ENG_20050106.0422_5_0,The most wanted man in Iraq claimed responsibility for the suicide attacks.,The most wanted man in Iraq died in the suicide attacks.,The most wanted man in Iraq participated in the suicide attacks.,{},,
31MCUE39BLOJU6ELTAPBEAZ3SLI3G9,3XA69K8C5YP36GZPE3KQW0ZI5UGW1H,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$0.75,Fri Apr 17 08:59:25 PDT 2020,1,BatchId:3998337;OriginalHitTemplateId:;,18000,86400,Fri Apr 24 08:59:25 PDT 2020,,,3DEL4X4EL7NYIF4TX7N6GARW07MYXA,APRZ7BR8C0ZMQ,Approved,Fri Apr 17 08:59:40 PDT 2020,Fri Apr 17 12:17:01 PDT 2020,Sat Apr 18 12:17:01 PDT 2020,Sat Apr 18 12:17:44 PDT 2020,,,11841,100% (2/2),100% (2/2),100% (2/2),"A spokeswoman for Dor Alon, who said company rules forbade giving her name, said the halt in shipments to the gas stations would take effect immediately, but supplies to the power station would continue as usual because the European Union guarantees the payment for those supplies.","Willcocks said the European Union is preparing a $700,000 donation to buy mine-clearing equipment -- such as protective clothing and mine detection devices -- for all three sides.",APW_ENG_20070617.0342_4_0,LTW_ENG_19960203.0033_11_0,The European Union is responsible for making sure the power station is supplied and this assures that the work at the power station will continue.,"Because of the interruption in supplies caused by Dor Alon, to the power stations, the possibility  of power interruptions is likely.","Dor Alon will halt shipments to the gas stations permanently, they will no longer service any gas station in the future.",{},,
31S7M7DAGHS4FFQGJGSI9F89I1GLTD,3XA69K8C5YP36GZPE3KQW0ZI5UGW1H,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$0.75,Fri Apr 17 08:59:24 PDT 2020,1,BatchId:3998337;OriginalHitTemplateId:;,18000,86400,Fri Apr 24 08:59:24 PDT 2020,,,3L0KT67Y8FIQMYIU3XHJH2A4LUVSYB,A2BA9Y6VGW6WS1,Approved,Fri Apr 17 17:08:00 PDT 2020,Fri Apr 17 22:05:51 PDT 2020,Sat Apr 18 22:05:51 PDT 2020,Sat Apr 18 22:06:44 PDT 2020,,,17871,100% (80/80),100% (4/4),100% (4/4),"According to Radio Mozambique, the police clashed with the striking students when they took actions in the early morning which ended nine-day blockade of the university by the students.",The students in the morning clashed again with the police.,XIN_ENG_19960528.0094_1_0,XIN_ENG_20010418.0225_1_0,The blockade had lasted over a week.,The students and the police never encountered one another.,The police used pepper spray during the strike.,{},,
31S7M7DAGHS4FFQGJGSI9F89I1GTLL,3XA69K8C5YP36GZPE3KQW0ZI5UGW1H,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$0.75,Fri Apr 17 08:59:30 PDT 2020,1,BatchId:3998337;OriginalHitTemplateId:;,18000,86400,Fri Apr 24 08:59:30 PDT 2020,,,3L4PIM1GQUIELJIHO8HERS58ZQ1YRE,A1E77HZO63E334,Approved,Fri Apr 17 09:15:04 PDT 2020,Fri Apr 17 09:45:48 PDT 2020,Sat Apr 18 09:45:48 PDT 2020,Sat Apr 18 09:46:44 PDT 2020,,,1844,100% (61/61),100% (61/61),100% (61/61),"The project, jointly owned by Royal Dutch Shell PLC and the Dutch utility company Nuon NV, was supported by a package of direct aid, tax breaks and production subsidies.",Nuon boasts a 35-percent share of the Dutch gas and electricity  markets.,APW_ENG_20070418.1076_4_0,AFP_ENG_20060613.0120_4_0,The project was owned jointly.,BP funded the project.,Royal Dutch Shell PLC funded more of the project.,{},,
