,premID,premise,mask-type,hypoID,hypothesis,response,Worker
27,1128.0,It would ease his own frustration and show strength in a time of weakness.,content-words,5798.0,He was currently engaging in a cycle of happiness and glory.,contradiction,A2C84POENS2UNY
432,1199.0,But in these obscure aristocratic byways he could not but feel that an officious policeman might stop him to explain matters.,gradient,3298.0,An over zealous policeman would not detain him to explain what was going on.,contradiction,A2EI075XZT9Y2S
432,1199.0,But in these obscure aristocratic byways he could not but feel that an officious policeman might stop him to explain matters.,gradient,3299.0,An over zealous policeman might not detain him to explain what was going on.,neutral,A2EI075XZT9Y2S
432,1199.0,But in these obscure aristocratic byways he could not but feel that an officious policeman might stop him to explain matters.,gradient,3303.0,An over zealous policeman would not stop him to explain what was going on.,contradiction,A2EI075XZT9Y2S
432,1199.0,But in these obscure aristocratic byways he could not but feel that an officious policeman might stop him to explain matters.,gradient,3304.0,An over zealous policeman might not want him to explain what was going on.,contradiction,A2EI075XZT9Y2S
102,1525.0,"Weather permitting, the observation decks on the 45th floors of both towers offer views all the way to Mt.",content-words,7802.0,The observation decks only offer views when the weather is sunny,neutral,A2C84POENS2UNY
102,1525.0,"Weather permitting, the observation decks on the 45th floors of both towers offer views all the way to Mt.",content-words,7803.0,The observation decks offer better views when the weather is good.,entailment,A2C84POENS2UNY
102,1525.0,"Weather permitting, the observation decks on the 45th floors of both towers offer views all the way to Mt.",content-words,7810.0,The observation decks offer views if the weather is sunny,entailment,A2C84POENS2UNY
102,1525.0,"Weather permitting, the observation decks on the 45th floors of both towers offer views all the way to Mt.",content-words,7819.0,The observation decks offer better views when the weather is nice.,entailment,A2C84POENS2UNY
30,1536.0,he'd be lucky if he can get an assistant uh job someplace,content-words,7843.0,It would be lucky if he got a job as an assistant.,contradiction,A2EI075XZT9Y2S
30,1536.0,he'd be lucky if he can get an assistant uh job someplace,content-words,7847.0,It would be unfortunate if he got a job without an assistant.,neutral,A2EI075XZT9Y2S
30,1536.0,he'd be lucky if he can get an assistant uh job someplace,content-words,7853.0,It would be unfortunate if he couldn't get a job as an assistant.,neutral,A2EI075XZT9Y2S
30,1536.0,he'd be lucky if he can get an assistant uh job someplace,content-words,7856.0,It would be unfortunate if he got no work as an assistant.,neutral,A2EI075XZT9Y2S
21,1769.0,The risks to the environment and to workers seem theoretical.,content-words,9177.0,The proposed risks to the environment and the workers in that situation seem to be just a theory.,entailment,A30HUZHJBOX1LK
21,1769.0,The risks to the environment and to workers seem theoretical.,content-words,9182.0,The proposed risks to the environment and the workers in this situation seem to be just a theory.,entailment,A30HUZHJBOX1LK
21,1769.0,The risks to the environment and to workers seem theoretical.,content-words,9186.0,The proposed risks to the environment and the workers in that scenario seem to be just a theory.,entailment,A30HUZHJBOX1LK
21,1769.0,The risks to the environment and to workers seem theoretical.,content-words,9189.0,"The proposed risks to the environment, and the workers in that field seem to be just a theory.",entailment,A30HUZHJBOX1LK
201,1886.0,Screening undertaken using clinical impression or biochemical tests is not as accurate or as sensitive as structured questionnaires for identifying alcohol use disorders or problematic consumption.,data-slices,1114.0,There is no easy way to determine if someone abuses alcohol.,contradiction,A2C84POENS2UNY
201,1886.0,Screening undertaken using clinical impression or biochemical tests is not as accurate or as sensitive as structured questionnaires for identifying alcohol use disorders or problematic consumption.,data-slices,1115.0,There is no reliable way to determine if someone abuses alcohol.,neutral,A2C84POENS2UNY
201,1886.0,Screening undertaken using clinical impression or biochemical tests is not as accurate or as sensitive as structured questionnaires for identifying alcohol use disorders or problematic consumption.,data-slices,1116.0,There is no surefire way to determine if someone abuses alcohol.,neutral,A2C84POENS2UNY
201,1886.0,Screening undertaken using clinical impression or biochemical tests is not as accurate or as sensitive as structured questionnaires for identifying alcohol use disorders or problematic consumption.,data-slices,1117.0,There are other ways to determine if someone abuses alcohol.,neutral,A2C84POENS2UNY
75,2207.0,that does sound like fun well i've gotten some good ideas from you,content-words,11636.0,"That sounds like fun, that was actually one of my ideas as well.",neutral,A30HUZHJBOX1LK
75,2207.0,that does sound like fun well i've gotten some good ideas from you,content-words,11640.0,That one was actually one of my good ideas as well.,neutral,A30HUZHJBOX1LK
75,2207.0,that does sound like fun well i've gotten some good ideas from you,content-words,11641.0,That sounds like one of my ideas as well.,neutral,A30HUZHJBOX1LK
75,2207.0,that does sound like fun well i've gotten some good ideas from you,content-words,11643.0,That one was actually one of my worst ideas as well.,contradiction,A30HUZHJBOX1LK
366,2655.0,yeah yeah yeah and that they they think the whole world is like that,gradient,7562.0,That is how they want the whole world to be.,entailment,A30HUZHJBOX1LK
366,2655.0,yeah yeah yeah and that they they think the whole world is like that,gradient,7565.0,That is how they think the whole world to be.,entailment,A30HUZHJBOX1LK
366,2655.0,yeah yeah yeah and that they they think the whole world is like that,gradient,7566.0,That is how they want the world to be.,neutral,A30HUZHJBOX1LK
366,2655.0,yeah yeah yeah and that they they think the whole world is like that,gradient,7571.0,That is the way they want the whole world to be.,neutral,A30HUZHJBOX1LK
150,2923.0,That evidence can include corroborative witnesses -- and even a layperson representing himself has the power of subpoena to require testimony.,data-slices,1697.0,A layperson that represents himself does have the power of subpoena.,entailment,A2EI075XZT9Y2S
150,2923.0,That evidence can include corroborative witnesses -- and even a layperson representing himself has the power of subpoena to require testimony.,data-slices,1698.0,A layperson that represents himself will always have the power of subpoena.,neutral,A2EI075XZT9Y2S
150,2923.0,That evidence can include corroborative witnesses -- and even a layperson representing himself has the power of subpoena to require testimony.,data-slices,1699.0,A layperson that represents himself has the power of subpoena.,entailment,A2EI075XZT9Y2S
150,2923.0,That evidence can include corroborative witnesses -- and even a layperson representing himself has the power of subpoena to require testimony.,data-slices,1701.0,A layperson that represents himself does not always have the power of subpoena.,contradiction,A2EI075XZT9Y2S
426,3249.0,then you got to get him to if he's going to do it you've got to twist his arm to get him to go do it,gradient,9171.0,But he loves doing it so you only have to ask him once.,contradiction,A30HUZHJBOX1LK
426,3249.0,then you got to get him to if he's going to do it you've got to twist his arm to get him to go do it,gradient,9172.0,He's going to do it so you only have to ask him once.,contradiction,A30HUZHJBOX1LK
426,3249.0,then you got to get him to if he's going to do it you've got to twist his arm to get him to go do it,gradient,9174.0,"He will only do it once, so you only have to ask him once.",contradiction,A30HUZHJBOX1LK
426,3249.0,then you got to get him to if he's going to do it you've got to twist his arm to get him to go do it,gradient,9175.0,He will end up doing it so you only have to ask him once.,contradiction,A30HUZHJBOX1LK
138,3348.0,E-mail Slate readers will get the survey by e-mail.,content-words,17383.0,Slate electronic subscribers will receive the poll in their e-mails soon.,entailment,A2EI075XZT9Y2S
138,3348.0,E-mail Slate readers will get the survey by e-mail.,content-words,17387.0,Slate electronic subscribers will receive the poll in their e mails application.,entailment,A2EI075XZT9Y2S
138,3348.0,E-mail Slate readers will get the survey by e-mail.,content-words,17407.0,E-mail Slate subscribers will receive the poll in their e-mails application.,entailment,A2EI075XZT9Y2S
138,3348.0,E-mail Slate readers will get the survey by e-mail.,content-words,17409.0,Only Slate readers will receive the poll in their e-mails application.,neutral,A2EI075XZT9Y2S
90,3361.0,so huh what do you think should they uh should young Americans be forced to do a year of service,content-words,17450.0,Should one year of service be mandatory for all young Americans?,entailment,A2C84POENS2UNY
90,3361.0,so huh what do you think should they uh should young Americans be forced to do a year of service,content-words,17455.0,Should one year of service be mandatory for all Americans?,contradiction,A2C84POENS2UNY
90,3361.0,so huh what do you think should they uh should young Americans be forced to do a year of service,content-words,17468.0,Should one year of service not be required for young Americans?,contradiction,A2C84POENS2UNY
90,3361.0,so huh what do you think should they uh should young Americans be forced to do a year of service,content-words,17469.0,Should one year of service be forced upon young Americans?,entailment,A2C84POENS2UNY
60,3413.0,so i don't know i i i have no idea what to do about it,content-words,17793.0,I don't know what to do about what I've got.,entailment,A2EI075XZT9Y2S
60,3413.0,so i don't know i i i have no idea what to do about it,content-words,17794.0,I don't know what to do about the letter I got.,neutral,A2EI075XZT9Y2S
60,3413.0,so i don't know i i i have no idea what to do about it,content-words,17796.0,I don't know what to do about the problem I got.,entailment,A2EI075XZT9Y2S
60,3413.0,so i don't know i i i have no idea what to do about it,content-words,17797.0,I don't know what to do about the problem I've got.,entailment,A2EI075XZT9Y2S
117,3466.0,he's got several out that i like and uh matter fact,content-words,18124.0,I like no of his works that are currently out.,contradiction,A2C84POENS2UNY
117,3466.0,he's got several out that i like and uh matter fact,content-words,18126.0,I don't like any of his works that are currently out.,contradiction,A2C84POENS2UNY
117,3466.0,he's got several out that i like and uh matter fact,content-words,18133.0,I like several of his songs that are currently out.,contradiction,A2C84POENS2UNY
117,3466.0,he's got several out that i like and uh matter fact,content-words,18134.0,I like several of the movies that are currently out.,entailment,A2C84POENS2UNY
48,3967.0,The best view of the whole citadel can be had from the terrace of the Jaisal Castle Hotel.,content-words,20511.0,The best view of the entire citadel is from a government building.,contradiction,A30HUZHJBOX1LK
48,3967.0,The best view of the whole citadel can be had from the terrace of the Jaisal Castle Hotel.,content-words,20514.0,The best view of the citadel is from inside the building.,contradiction,A30HUZHJBOX1LK
48,3967.0,The best view of the whole citadel can be had from the terrace of the Jaisal Castle Hotel.,content-words,20516.0,The best view of the citadel is from a.label: neutral.,neutral,A30HUZHJBOX1LK
48,3967.0,The best view of the whole citadel can be had from the terrace of the Jaisal Castle Hotel.,content-words,20518.0,The best view of the citadel is from a government hotel terrace.,contradiction,A30HUZHJBOX1LK
309,4377.0,Don't be offended because I think you're young.,gradient,12369.0,I don't want to offend you by saying you're old.,contradiction,A2C84POENS2UNY
309,4377.0,Don't be offended because I think you're young.,gradient,12371.0,I was trying not to offend you by saying you're old.,contradiction,A2C84POENS2UNY
309,4377.0,Don't be offended because I think you're young.,gradient,12374.0,I was trying to be kind by saying you're old.,contradiction,A2C84POENS2UNY
309,4377.0,Don't be offended because I think you're young.,gradient,12377.0,I don't mean to offend you by saying you're old.,contradiction,A2C84POENS2UNY
54,4614.0,(Prudie agrees that speaking directly to the parties would probably not be useful.),content-words,23925.0,I said that speaking to the parties would.,contradiction,A2C84POENS2UNY
54,4614.0,(Prudie agrees that speaking directly to the parties would probably not be useful.),content-words,23927.0,I said that speaking to the parties.,neutral,A2C84POENS2UNY
54,4614.0,(Prudie agrees that speaking directly to the parties would probably not be useful.),content-words,23928.0,I said that speaking to the parties would probably not be useful.,neutral,A2C84POENS2UNY
54,4614.0,(Prudie agrees that speaking directly to the parties would probably not be useful.),content-words,23929.0,I said that speaking to the parties wouldn't be useful.,neutral,A2C84POENS2UNY
147,4654.0,"Once, two bodies went hurtling upwards toward the great gaps in the sky.",content-words,24092.0,Two unlucky bodies were flung up into the sky gaps.,entailment,A2C84POENS2UNY
147,4654.0,"Once, two bodies went hurtling upwards toward the great gaps in the sky.",content-words,24102.0,Two unlucky bodies were flung up into the darkened.,neutral,A2C84POENS2UNY
147,4654.0,"Once, two bodies went hurtling upwards toward the great gaps in the sky.",content-words,24104.0,Two unlucky bodies were flung up into the darkened skies.,neutral,A2C84POENS2UNY
147,4654.0,"Once, two bodies went hurtling upwards toward the great gaps in the sky.",content-words,24109.0,Two people were flung up into the darkened sky gaps.,neutral,A2C84POENS2UNY
402,5711.0,the the year they beat the As yeah that was really dramatic they were,gradient,15956.0,The most dramatic season was when they beat the A's.,neutral,A2EI075XZT9Y2S
402,5711.0,the the year they beat the As yeah that was really dramatic they were,gradient,15960.0,The most dramatic year was when they beat the A's.,neutral,A2EI075XZT9Y2S
402,5711.0,the the year they beat the As yeah that was really dramatic they were,gradient,15962.0,The really dramatic moment of the season was when they beat the A's.,neutral,A2EI075XZT9Y2S
402,5711.0,the the year they beat the As yeah that was really dramatic they were,gradient,15963.0,The most dramatic game of the season was when they beat the A's.,neutral,A2EI075XZT9Y2S
447,5728.0,Are you really Uncle Hiram's son? she asked wonderingly.,gradient,16001.0,Uncle Hiram had told them that he had no sons.,neutral,A2EI075XZT9Y2S
447,5728.0,Are you really Uncle Hiram's son? she asked wonderingly.,gradient,16002.0,Uncle Hiram told them that he had no sons.,neutral,A2EI075XZT9Y2S
447,5728.0,Are you really Uncle Hiram's son? she asked wonderingly.,gradient,16004.0,Uncle Hiram always told them that he had no sons.,neutral,A2EI075XZT9Y2S
447,5728.0,Are you really Uncle Hiram's son? she asked wonderingly.,gradient,16007.0,Uncle Hiram had informed them that he had no sons.,neutral,A2EI075XZT9Y2S
24,5851.0,and things will live on this planet but humans may not be able to anymore,content-words,30052.0,Humans will be unable to live on the planet forever.,neutral,A2EI075XZT9Y2S
24,5851.0,and things will live on this planet but humans may not be able to anymore,content-words,30053.0,"Humans will be able to live on the planet, but not forever.",neutral,A2EI075XZT9Y2S
24,5851.0,and things will live on this planet but humans may not be able to anymore,content-words,30058.0,Humans will be on the planet forever.,neutral,A2EI075XZT9Y2S
24,5851.0,and things will live on this planet but humans may not be able to anymore,content-words,30062.0,Humans will be Unable to live on the planet forever.,neutral,A2EI075XZT9Y2S
57,5865.0,Another human capital issue is more structural in terms of staffing.,content-words,30128.0,The staffing issue is different from other human problems in private organizations.,neutral,A2EI075XZT9Y2S
57,5865.0,Another human capital issue is more structural in terms of staffing.,content-words,30141.0,Staffing issues result from other human problems.,neutral,A2EI075XZT9Y2S
57,5865.0,Another human capital issue is more structural in terms of staffing.,content-words,30147.0,Staffing issues result from other human problems in.,neutral,A2EI075XZT9Y2S
57,5865.0,Another human capital issue is more structural in terms of staffing.,content-words,30148.0,Staffing issues result from other human problems within the organizations.,neutral,A2EI075XZT9Y2S
336,5986.0,oh i didn't even know they were turning any away,gradient,16756.0,I had only heard of them turning some away.,contradiction,A2EI075XZT9Y2S
336,5986.0,oh i didn't even know they were turning any away,gradient,16757.0,I had only heard that they were turning some away.,contradiction,A2EI075XZT9Y2S
336,5986.0,oh i didn't even know they were turning any away,gradient,16761.0,I had heard about them turning some away.,contradiction,A2EI075XZT9Y2S
336,5986.0,oh i didn't even know they were turning any away,gradient,16762.0,I had heard the rumours about them turning some away.,contradiction,A2EI075XZT9Y2S
6,6606.0,"A trading town and port, its main shopping street, Ormos Ermou, still throngs with the energy of an eastern bazaar.",content-words,33884.0,"The shopping street Ormos Ermou, has the energy of a Mexican.",neutral,A2C84POENS2UNY
6,6606.0,"A trading town and port, its main shopping street, Ormos Ermou, still throngs with the energy of an eastern bazaar.",content-words,33888.0,"The shopping street Ormos Ermou, has the energy of a flea market.",neutral,A2C84POENS2UNY
6,6606.0,"A trading town and port, its main shopping street, Ormos Ermou, still throngs with the energy of an eastern bazaar.",content-words,33889.0,"The shopping street Ormos Ermou, has the energy of a large flea market.",neutral,A2C84POENS2UNY
6,6606.0,"A trading town and port, its main shopping street, Ormos Ermou, still throngs with the energy of an eastern bazaar.",content-words,33896.0,"The shopping street Ormos Ermou, has the energy of a.",neutral,A2C84POENS2UNY
144,6770.0,"If the land itself is the most obvious source of French pride, the nation's cultural wealth is just as important.",content-words,34636.0,The land in France is more prosperous than.,neutral,A30HUZHJBOX1LK
144,6770.0,"If the land itself is the most obvious source of French pride, the nation's cultural wealth is just as important.",content-words,34637.0,The land in France is more important than the cultural lands.,contradiction,A30HUZHJBOX1LK
144,6770.0,"If the land itself is the most obvious source of French pride, the nation's cultural wealth is just as important.",content-words,34638.0,The land in France is more prosperous.,neutral,A30HUZHJBOX1LK
144,6770.0,"If the land itself is the most obvious source of French pride, the nation's cultural wealth is just as important.",content-words,34647.0,The land in France is more prosperous than the nation.,neutral,A30HUZHJBOX1LK
321,6997.0,"Best known, perhaps is Mother Redcap's in Back Lane (opposite Christ Church Cathedral).",gradient,19564.0,Mother Redcap is one of the best known to most people to shop.,neutral,A2EI075XZT9Y2S
321,6997.0,"Best known, perhaps is Mother Redcap's in Back Lane (opposite Christ Church Cathedral).",gradient,19566.0,Mother Redcap's is the best known to most people.,neutral,A2EI075XZT9Y2S
321,6997.0,"Best known, perhaps is Mother Redcap's in Back Lane (opposite Christ Church Cathedral).",gradient,19567.0,Mother Redcap's is the best known to most people in the area.,neutral,A2EI075XZT9Y2S
321,6997.0,"Best known, perhaps is Mother Redcap's in Back Lane (opposite Christ Church Cathedral).",gradient,19570.0,Mother Redcap's is the best known to most.,entailment,A2EI075XZT9Y2S
18,7090.0,Those who feel a holiday isn't the same without a game are welcome to tee off there.,content-words,36120.0,Those who feel a holiday is n't the same without a game are gonna have to deal with the pain.,contradiction,A30HUZHJBOX1LK
18,7090.0,Those who feel a holiday isn't the same without a game are welcome to tee off there.,content-words,36123.0,Those who feel holidays aren't the same without a game are gonna have to deal.,contradiction,A30HUZHJBOX1LK
18,7090.0,Those who feel a holiday isn't the same without a game are welcome to tee off there.,content-words,36136.0,Those who feel holidays aren't the same without a game are gonna have to deal with the.,neutral,A30HUZHJBOX1LK
18,7090.0,Those who feel a holiday isn't the same without a game are welcome to tee off there.,content-words,36138.0,Those who feel holidays aren't the same without a game are gonna have to deal with.,contradiction,A30HUZHJBOX1LK
417,7716.0,"It is hard to imagine, though, why any government would embargo such a product, unless the plastic surgeons' lobby has already got to them.",gradient,21668.0,It's hard to imagine why a government would embargo a product that is used for cosmetic surgeries.,neutral,A2C84POENS2UNY
417,7716.0,"It is hard to imagine, though, why any government would embargo such a product, unless the plastic surgeons' lobby has already got to them.",gradient,21674.0,It's hard to imagine why a government would embargo a product that could be used for cosmetic surgeries.,neutral,A2C84POENS2UNY
417,7716.0,"It is hard to imagine, though, why any government would embargo such a product, unless the plastic surgeons' lobby has already got to them.",gradient,21677.0,It's hard to imagine why a government would embargo a product that's only used for cosmetic surgeries.,neutral,A2C84POENS2UNY
417,7716.0,"It is hard to imagine, though, why any government would embargo such a product, unless the plastic surgeons' lobby has already got to them.",gradient,21682.0,It's hard to imagine why a government would embargo a product that can be used for cosmetic surgeries.,neutral,A2C84POENS2UNY
315,7978.0,But it was the label that was attracting Poirot's attention.,gradient,22426.0,It was the lack of people on the label that caught his attention.,neutral,A2C84POENS2UNY
315,7978.0,But it was the label that was attracting Poirot's attention.,gradient,22429.0,But it was the vibrant colors on the label that caught his attention.,neutral,A2C84POENS2UNY
315,7978.0,But it was the label that was attracting Poirot's attention.,gradient,22434.0,It was not the vibrant colors on the label that caught his attention.,neutral,A2C84POENS2UNY
315,7978.0,But it was the label that was attracting Poirot's attention.,gradient,22435.0,It wasn't the vibrant colors on the label that caught his attention.,neutral,A2C84POENS2UNY
114,8020.0,The Vice President has also expressed concern regarding certain requests for his personal schedule.,content-words,40693.0,The VP is not concerned about how they are going to get his personal schedule.,contradiction,A30HUZHJBOX1LK
114,8020.0,The Vice President has also expressed concern regarding certain requests for his personal schedule.,content-words,40695.0,The VP is worried that he will not be able to get his personal schedule.,contradiction,A30HUZHJBOX1LK
114,8020.0,The Vice President has also expressed concern regarding certain requests for his personal schedule.,content-words,40696.0,The VP is worried that people are going to get mad at him for his schedule.,neutral,A30HUZHJBOX1LK
114,8020.0,The Vice President has also expressed concern regarding certain requests for his personal schedule.,content-words,40698.0,The VP is worried that people are going to get.,neutral,A30HUZHJBOX1LK
81,8124.0,We have observed that many more clients receive some assistance when technologically sophisticated intake systems are installed.,content-words,41260.0,The intake systems of the past are perfectly fine and don't need replacing.,neutral,A30HUZHJBOX1LK
81,8124.0,We have observed that many more clients receive some assistance when technologically sophisticated intake systems are installed.,content-words,41263.0,The intake systems of the past are old and don't need replacing.,neutral,A30HUZHJBOX1LK
81,8124.0,We have observed that many more clients receive some assistance when technologically sophisticated intake systems are installed.,content-words,41276.0,The systems that were installed in the past are perfectly viable and don't need replacing.,neutral,A30HUZHJBOX1LK
81,8124.0,We have observed that many more clients receive some assistance when technologically sophisticated intake systems are installed.,content-words,41277.0,The intake systems of technologically advanced systems are perfectly viable and don't need replacing.,neutral,A30HUZHJBOX1LK
420,8203.0,"The New Disclosure Option final rule permits a mutual fund to offer investors a new disclosure document called a Aprofile, which summarizes key information",gradient,23068.0,The New Disclosure Option final rule gives mutual fund.,neutral,A2EI075XZT9Y2S
420,8203.0,"The New Disclosure Option final rule permits a mutual fund to offer investors a new disclosure document called a Aprofile, which summarizes key information",gradient,23070.0,The New Disclosure Option final rule gives mutual fund investors too little information.,neutral,A2EI075XZT9Y2S
420,8203.0,"The New Disclosure Option final rule permits a mutual fund to offer investors a new disclosure document called a Aprofile, which summarizes key information",gradient,23071.0,The New Disclosure Option final rule gives investors a little information.,entailment,A2EI075XZT9Y2S
420,8203.0,"The New Disclosure Option final rule permits a mutual fund to offer investors a new disclosure document called a Aprofile, which summarizes key information",gradient,23074.0,The New Disclosure Option final rule gives mutual funds a little information.,contradiction,A2EI075XZT9Y2S
429,8284.0,"He told me, 'You don't have to tell me who you are.",gradient,23373.0,He knows who I am and wants to know.,neutral,A2C84POENS2UNY
429,8284.0,"He told me, 'You don't have to tell me who you are.",gradient,23375.0,He has an idea who I am and wants to know.,neutral,A2C84POENS2UNY
429,8284.0,"He told me, 'You don't have to tell me who you are.",gradient,23377.0,The man has no idea who I am and wants to know.,neutral,A2C84POENS2UNY
429,8284.0,"He told me, 'You don't have to tell me who you are.",gradient,23380.0,The person has no idea who I am and wants to know.,neutral,A2C84POENS2UNY
108,8561.0,probably so just because they were under his authority and he obviously failed somewhere along the line,content-words,43356.0,They failed because he was  a great leader.,contradiction,A2C84POENS2UNY
108,8561.0,probably so just because they were under his authority and he obviously failed somewhere along the line,content-words,43360.0,They were under his authority because he was  a great leader.,contradiction,A2C84POENS2UNY
108,8561.0,probably so just because they were under his authority and he obviously failed somewhere along the line,content-words,43361.0,They were free and he was  a great.,contradiction,A2C84POENS2UNY
108,8561.0,probably so just because they were under his authority and he obviously failed somewhere along the line,content-words,43365.0,They were under his control because he was  a great leader.,contradiction,A2C84POENS2UNY
15,8700.0,The anti-poker campaign has galvanized the state like no issue ever has.,content-words,44233.0,There was a big fuss mad about the anti-poker campaign.,entailment,A2EI075XZT9Y2S
15,8700.0,The anti-poker campaign has galvanized the state like no issue ever has.,content-words,44234.0,There was not a fuss mad about the anti-poker campaign.,contradiction,A2EI075XZT9Y2S
15,8700.0,The anti-poker campaign has galvanized the state like no issue ever has.,content-words,44245.0,There was not much that could be done about the anti-poker campaign.,contradiction,A2EI075XZT9Y2S
15,8700.0,The anti-poker campaign has galvanized the state like no issue ever has.,content-words,44250.0,There was not much fuss mad about the pro poker campaign.,contradiction,A2EI075XZT9Y2S
96,8781.0,Rennie's foster son was now riding inspection between one water-hole fortification and another.,content-words,44679.0,Rennie has a foster son and they are�.,neutral,A2C84POENS2UNY
96,8781.0,Rennie's foster son was now riding inspection between one water-hole fortification and another.,content-words,44682.0,Rennie has a son and they are very close.,neutral,A2C84POENS2UNY
96,8781.0,Rennie's foster son was now riding inspection between one water-hole fortification and another.,content-words,44686.0,Rennie has a foster son and they entailment.,neutral,A2C84POENS2UNY
96,8781.0,Rennie's foster son was now riding inspection between one water-hole fortification and another.,content-words,44689.0,Rennie has a husband and they are very close.,neutral,A2C84POENS2UNY
294,9244.0,Which is cause and which is effect here is an open question.,data-slices,4859.0,No one has a solid answer to which is cause or which is effect.,entailment,A2C84POENS2UNY
294,9244.0,Which is cause and which is effect here is an open question.,data-slices,4860.0,There is an answer to which is cause or which is effect.,neutral,A2C84POENS2UNY
294,9244.0,Which is cause and which is effect here is an open question.,data-slices,4861.0,There is a solid answer to which is cause or which is effect.,contradiction,A2C84POENS2UNY
294,9244.0,Which is cause and which is effect here is an open question.,data-slices,4862.0,There is no question as to which is cause or which is effect.,contradiction,A2C84POENS2UNY
438,9244.0,Which is cause and which is effect here is an open question.,gradient,26188.0,There is only one answer to which is cause or which is effect.,contradiction,A2EI075XZT9Y2S
438,9244.0,Which is cause and which is effect here is an open question.,gradient,26190.0,No one has a solid answer to which is cause or which is effect.,entailment,A2EI075XZT9Y2S
438,9244.0,Which is cause and which is effect here is an open question.,gradient,26194.0,There is no way to know which is cause or which is effect.,neutral,A2EI075XZT9Y2S
438,9244.0,Which is cause and which is effect here is an open question.,gradient,26195.0,There is no answer to which is cause or which is effect.,neutral,A2EI075XZT9Y2S
3,9515.0,"As you go through the gate decorated with the arms of the Ceter?­cian order, you'll notice a niche for a guard dog below the staircase.",content-words,48511.0,You wo going through the gate are going to notice the niche below the staircase.,contradiction,A2C84POENS2UNY
3,9515.0,"As you go through the gate decorated with the arms of the Ceter?­cian order, you'll notice a niche for a guard dog below the staircase.",content-words,48515.0,You won't be able to fail to notice the niche below the staircase.,entailment,A2C84POENS2UNY
3,9515.0,"As you go through the gate decorated with the arms of the Ceter?­cian order, you'll notice a niche for a guard dog below the staircase.",content-words,48518.0,You won't be able to miss the niche below the staircase.,entailment,A2C84POENS2UNY
3,9515.0,"As you go through the gate decorated with the arms of the Ceter?­cian order, you'll notice a niche for a guard dog below the staircase.",content-words,48519.0,You won't be able to notice the niche below the staircase without looking.,contradiction,A2C84POENS2UNY
375,9577.0,and i uh of course was i was sent a uh an application from uh from Jack i've known Jack for sometime i'm in the,gradient,27261.0,"Jack, a close friend of mine I've know for a while, sent me an application.",neutral,A2C84POENS2UNY
