,WorkTimeInSecon,Worker,flip-class,hypoID,hypothesis,mask-type,model-label,orig-prob,premID,premise,response,model-wrong
357,949.0,A30HUZHJBOX1LK,Certain-Flip,1780.0,The Maroon people tenderized and cooked their beef with the jerk marinating technique.,gradient,contradiction,0.99,607.0,The jerk marinating technique was first developed by the Maroon people as a method of tenderizing and cooking their pork.,neutral,True
135,1161.0,A30HUZHJBOX1LK,Uncertain-Flip,5283.0,"Most mail may be viewed as community newspapers, but not as shoppers.",content-words,contradiction,0.97,1016.0,It also includes some mail that might be viewed as community newspapers or shoppers and some that could be viewed as Periodicals.,contradiction,False
135,1161.0,A30HUZHJBOX1LK,Uncertain-Same,5284.0,Most mail may be viewed as community newspapers or shoppers and not Periodicals.,content-words,neutral,0.97,1016.0,It also includes some mail that might be viewed as community newspapers or shoppers and some that could be viewed as Periodicals.,contradiction,True
135,1161.0,A30HUZHJBOX1LK,Certain-Same,5285.0,Most mail may be viewed as community newspapers or.,content-words,neutral,0.97,1016.0,It also includes some mail that might be viewed as community newspapers or shoppers and some that could be viewed as Periodicals.,neutral,False
135,1161.0,A30HUZHJBOX1LK,Uncertain-Same,5287.0,Most mail cannot be viewed as community newspapers or shoppers.,content-words,neutral,0.97,1016.0,It also includes some mail that might be viewed as community newspapers or shoppers and some that could be viewed as Periodicals.,neutral,False
27,1156.0,A2C84POENS2UNY,Uncertain-Flip,5790.0,He was currently engaging in a battle for happiness and glory.,content-words,neutral,1.0,1128.0,It would ease his own frustration and show strength in a time of weakness.,neutral,False
27,1156.0,A2C84POENS2UNY,Uncertain-Same,5792.0,He was currently engaging in a time of happiness and frustration.,content-words,contradiction,1.0,1128.0,It would ease his own frustration and show strength in a time of weakness.,neutral,True
27,1156.0,A2C84POENS2UNY,Uncertain-Flip,5793.0,He was currently engaging in a fight for happiness and glory.,content-words,neutral,1.0,1128.0,It would ease his own frustration and show strength in a time of weakness.,neutral,False
27,1156.0,A2C84POENS2UNY,Certain-Same,5798.0,He was currently engaging in a cycle of happiness and glory.,content-words,contradiction,1.0,1128.0,It would ease his own frustration and show strength in a time of weakness.,contradiction,False
432,86.0,A2EI075XZT9Y2S,Certain-Flip,3298.0,An over zealous policeman would not detain him to explain what was going on.,gradient,contradiction,0.95,1199.0,But in these obscure aristocratic byways he could not but feel that an officious policeman might stop him to explain matters.,contradiction,False
432,86.0,A2EI075XZT9Y2S,Uncertain-Flip,3299.0,An over zealous policeman might not detain him to explain what was going on.,gradient,contradiction,0.95,1199.0,But in these obscure aristocratic byways he could not but feel that an officious policeman might stop him to explain matters.,neutral,True
432,86.0,A2EI075XZT9Y2S,Certain-Flip,3303.0,An over zealous policeman would not stop him to explain what was going on.,gradient,contradiction,0.95,1199.0,But in these obscure aristocratic byways he could not but feel that an officious policeman might stop him to explain matters.,contradiction,False
432,86.0,A2EI075XZT9Y2S,Uncertain-Same,3304.0,An over zealous policeman might not want him to explain what was going on.,gradient,entailment,0.95,1199.0,But in these obscure aristocratic byways he could not but feel that an officious policeman might stop him to explain matters.,contradiction,True
189,84.0,A2EI075XZT9Y2S,Certain-Flip,869.0,The Wan Chai waterfront is visible from the convention center.,data-slices,entailment,1.0,1456.0,"The convention center, an extension on reclaimed land, affords stunning views of the Wan Chai waterfront.",entailment,False
189,84.0,A2EI075XZT9Y2S,Certain-Flip,870.0,The Wan Chai waterfront is clearly visible from the convention center.,data-slices,entailment,1.0,1456.0,"The convention center, an extension on reclaimed land, affords stunning views of the Wan Chai waterfront.",entailment,False
189,84.0,A2EI075XZT9Y2S,Uncertain-Same,871.0,The Wan Chai waterfront is unfortunately not far from the convention center.,data-slices,contradiction,1.0,1456.0,"The convention center, an extension on reclaimed land, affords stunning views of the Wan Chai waterfront.",neutral,True
189,84.0,A2EI075XZT9Y2S,Uncertain-Flip,873.0,The Wan Chai waterfront is not far from the convention center.,data-slices,entailment,1.0,1456.0,"The convention center, an extension on reclaimed land, affords stunning views of the Wan Chai waterfront.",entailment,False
102,1585.0,A2C84POENS2UNY,Certain-Same,7802.0,The observation decks only offer views when the weather is sunny,content-words,neutral,0.99,1525.0,"Weather permitting, the observation decks on the 45th floors of both towers offer views all the way to Mt.",neutral,False
102,1585.0,A2C84POENS2UNY,Uncertain-Flip,7803.0,The observation decks offer better views when the weather is good.,content-words,entailment,0.99,1525.0,"Weather permitting, the observation decks on the 45th floors of both towers offer views all the way to Mt.",entailment,False
102,1585.0,A2C84POENS2UNY,Uncertain-Same,7810.0,The observation decks offer views if the weather is sunny,content-words,neutral,0.99,1525.0,"Weather permitting, the observation decks on the 45th floors of both towers offer views all the way to Mt.",entailment,True
102,1585.0,A2C84POENS2UNY,Uncertain-Flip,7819.0,The observation decks offer better views when the weather is nice.,content-words,entailment,0.99,1525.0,"Weather permitting, the observation decks on the 45th floors of both towers offer views all the way to Mt.",entailment,False
30,297.0,A2EI075XZT9Y2S,Certain-Flip,7843.0,It would be lucky if he got a job as an assistant.,content-words,entailment,1.0,1536.0,he'd be lucky if he can get an assistant uh job someplace,entailment,False
30,297.0,A2EI075XZT9Y2S,Uncertain-Flip,7847.0,It would be unfortunate if he got a job without an assistant.,content-words,neutral,1.0,1536.0,he'd be lucky if he can get an assistant uh job someplace,neutral,False
30,297.0,A2EI075XZT9Y2S,Uncertain-Flip,7853.0,It would be unfortunate if he couldn't get a job as an assistant.,content-words,entailment,1.0,1536.0,he'd be lucky if he can get an assistant uh job someplace,neutral,True
30,297.0,A2EI075XZT9Y2S,Uncertain-Same,7856.0,It would be unfortunate if he got no work as an assistant.,content-words,contradiction,1.0,1536.0,he'd be lucky if he can get an assistant uh job someplace,neutral,True
42,1146.0,A2C84POENS2UNY,Certain-Same,7947.0,Average incomes are listed in a table in the numeral II.,content-words,neutral,1.0,1559.0,The numeral II could indicate locations of average income and stop density that are relatively economical to deliver.,neutral,False
42,1146.0,A2C84POENS2UNY,Uncertain-Flip,7950.0,Average incomes are listed in a table in the numeral I.,content-words,contradiction,1.0,1559.0,The numeral II could indicate locations of average income and stop density that are relatively economical to deliver.,neutral,True
42,1146.0,A2C84POENS2UNY,Uncertain-Same,7953.0,Average incomes are listed in a different numeral in the report.,content-words,neutral,1.0,1559.0,The numeral II could indicate locations of average income and stop density that are relatively economical to deliver.,neutral,False
42,1146.0,A2C84POENS2UNY,Uncertain-Flip,7955.0,Average incomes are listed in the numeral II in the report.,content-words,entailment,1.0,1559.0,The numeral II could indicate locations of average income and stop density that are relatively economical to deliver.,neutral,True
21,272.0,A30HUZHJBOX1LK,Uncertain-Flip,9177.0,The proposed risks to the environment and the workers in that situation seem to be just a theory.,content-words,entailment,1.0,1769.0,The risks to the environment and to workers seem theoretical.,entailment,False
21,272.0,A30HUZHJBOX1LK,Uncertain-Flip,9182.0,The proposed risks to the environment and the workers in this situation seem to be just a theory.,content-words,entailment,1.0,1769.0,The risks to the environment and to workers seem theoretical.,entailment,False
21,272.0,A30HUZHJBOX1LK,Uncertain-Same,9186.0,The proposed risks to the environment and the workers in that scenario seem to be just a theory.,content-words,neutral,1.0,1769.0,The risks to the environment and to workers seem theoretical.,entailment,True
21,272.0,A30HUZHJBOX1LK,Certain-Same,9189.0,"The proposed risks to the environment, and the workers in that field seem to be just a theory.",content-words,neutral,1.0,1769.0,The risks to the environment and to workers seem theoretical.,entailment,True
201,1251.0,A2C84POENS2UNY,Uncertain-Same,1114.0,There is no easy way to determine if someone abuses alcohol.,data-slices,contradiction,1.0,1886.0,Screening undertaken using clinical impression or biochemical tests is not as accurate or as sensitive as structured questionnaires for identifying alcohol use disorders or problematic consumption.,neutral,True
201,1251.0,A2C84POENS2UNY,Certain-Same,1115.0,There is no reliable way to determine if someone abuses alcohol.,data-slices,contradiction,1.0,1886.0,Screening undertaken using clinical impression or biochemical tests is not as accurate or as sensitive as structured questionnaires for identifying alcohol use disorders or problematic consumption.,neutral,True
201,1251.0,A2C84POENS2UNY,Uncertain-Same,1116.0,There is no surefire way to determine if someone abuses alcohol.,data-slices,contradiction,1.0,1886.0,Screening undertaken using clinical impression or biochemical tests is not as accurate or as sensitive as structured questionnaires for identifying alcohol use disorders or problematic consumption.,neutral,True
201,1251.0,A2C84POENS2UNY,Uncertain-Flip,1117.0,There are other ways to determine if someone abuses alcohol.,data-slices,neutral,1.0,1886.0,Screening undertaken using clinical impression or biochemical tests is not as accurate or as sensitive as structured questionnaires for identifying alcohol use disorders or problematic consumption.,neutral,False
75,982.0,A30HUZHJBOX1LK,Uncertain-Flip,11636.0,"That sounds like fun, that was actually one of my ideas as well.",content-words,entailment,0.99,2207.0,that does sound like fun well i've gotten some good ideas from you,neutral,True
75,982.0,A30HUZHJBOX1LK,Certain-Same,11640.0,That one was actually one of my good ideas as well.,content-words,neutral,0.99,2207.0,that does sound like fun well i've gotten some good ideas from you,neutral,False
75,982.0,A30HUZHJBOX1LK,Uncertain-Same,11641.0,That sounds like one of my ideas as well.,content-words,neutral,0.99,2207.0,that does sound like fun well i've gotten some good ideas from you,neutral,False
75,982.0,A30HUZHJBOX1LK,Uncertain-Flip,11643.0,That one was actually one of my worst ideas as well.,content-words,contradiction,0.99,2207.0,that does sound like fun well i've gotten some good ideas from you,contradiction,False
339,938.0,A30HUZHJBOX1LK,Uncertain-Same,6609.0,There is no other way to ask for a physical menu to look at.,gradient,contradiction,1.0,2289.0,"If you want to look at the actual menu and see what else is offered, then you should ask for  la carta.  ",neutral,True
339,938.0,A30HUZHJBOX1LK,Certain-Same,6610.0,There's no way to ask for a physical menu to look at.,gradient,contradiction,1.0,2289.0,"If you want to look at the actual menu and see what else is offered, then you should ask for  la carta.  ",contradiction,False
339,938.0,A30HUZHJBOX1LK,Uncertain-Flip,6611.0,La carta is the best way to ask for a physical menu to look at.,gradient,entailment,1.0,2289.0,"If you want to look at the actual menu and see what else is offered, then you should ask for  la carta.  ",entailment,False
339,938.0,A30HUZHJBOX1LK,Uncertain-Flip,6612.0,There is only one way to ask for a physical menu to look at.,gradient,neutral,1.0,2289.0,"If you want to look at the actual menu and see what else is offered, then you should ask for  la carta.  ",neutral,False
366,961.0,A30HUZHJBOX1LK,Uncertain-Same,7562.0,That is how they want the whole world to be.,gradient,entailment,0.99,2655.0,yeah yeah yeah and that they they think the whole world is like that,neutral,True
366,961.0,A30HUZHJBOX1LK,Certain-Same,7565.0,That is how they think the whole world to be.,gradient,entailment,0.99,2655.0,yeah yeah yeah and that they they think the whole world is like that,entailment,False
366,961.0,A30HUZHJBOX1LK,Uncertain-Flip,7566.0,That is how they want the world to be.,gradient,neutral,0.99,2655.0,yeah yeah yeah and that they they think the whole world is like that,neutral,False
366,961.0,A30HUZHJBOX1LK,Uncertain-Same,7571.0,That is the way they want the whole world to be.,gradient,entailment,0.99,2655.0,yeah yeah yeah and that they they think the whole world is like that,neutral,True
150,638.0,A2EI075XZT9Y2S,Certain-Flip,1697.0,A layperson that represents himself does have the power of subpoena.,data-slices,entailment,1.0,2923.0,That evidence can include corroborative witnesses -- and even a layperson representing himself has the power of subpoena to require testimony.,entailment,False
150,638.0,A2EI075XZT9Y2S,Uncertain-Flip,1698.0,A layperson that represents himself will always have the power of subpoena.,data-slices,entailment,1.0,2923.0,That evidence can include corroborative witnesses -- and even a layperson representing himself has the power of subpoena to require testimony.,neutral,True
150,638.0,A2EI075XZT9Y2S,Certain-Flip,1699.0,A layperson that represents himself has the power of subpoena.,data-slices,entailment,1.0,2923.0,That evidence can include corroborative witnesses -- and even a layperson representing himself has the power of subpoena to require testimony.,entailment,False
150,638.0,A2EI075XZT9Y2S,Uncertain-Same,1701.0,A layperson that represents himself does not always have the power of subpoena.,data-slices,contradiction,1.0,2923.0,That evidence can include corroborative witnesses -- and even a layperson representing himself has the power of subpoena to require testimony.,neutral,True
426,488.0,A30HUZHJBOX1LK,Uncertain-Same,9171.0,But he loves doing it so you only have to ask him once.,gradient,contradiction,0.96,3249.0,then you got to get him to if he's going to do it you've got to twist his arm to get him to go do it,contradiction,False
426,488.0,A30HUZHJBOX1LK,Uncertain-Same,9172.0,He's going to do it so you only have to ask him once.,gradient,contradiction,0.96,3249.0,then you got to get him to if he's going to do it you've got to twist his arm to get him to go do it,contradiction,False
426,488.0,A30HUZHJBOX1LK,Certain-Flip,9174.0,"He will only do it once, so you only have to ask him once.",gradient,neutral,0.96,3249.0,then you got to get him to if he's going to do it you've got to twist his arm to get him to go do it,contradiction,True
426,488.0,A30HUZHJBOX1LK,Uncertain-Flip,9175.0,He will end up doing it so you only have to ask him once.,gradient,neutral,0.96,3249.0,then you got to get him to if he's going to do it you've got to twist his arm to get him to go do it,contradiction,True
138,44.0,A2EI075XZT9Y2S,Uncertain-Flip,17383.0,Slate electronic subscribers will receive the poll in their e-mails soon.,content-words,neutral,0.97,3348.0,E-mail Slate readers will get the survey by e-mail.,neutral,False
138,44.0,A2EI075XZT9Y2S,Certain-Same,17387.0,Slate electronic subscribers will receive the poll in their e mails application.,content-words,entailment,0.97,3348.0,E-mail Slate readers will get the survey by e-mail.,entailment,False
138,44.0,A2EI075XZT9Y2S,Uncertain-Same,17407.0,E-mail Slate subscribers will receive the poll in their e-mails application.,content-words,entailment,0.97,3348.0,E-mail Slate readers will get the survey by e-mail.,entailment,False
138,44.0,A2EI075XZT9Y2S,Uncertain-Flip,17409.0,Only Slate readers will receive the poll in their e-mails application.,content-words,neutral,0.97,3348.0,E-mail Slate readers will get the survey by e-mail.,neutral,False
90,942.0,A2C84POENS2UNY,Uncertain-Same,17450.0,Should one year of service be mandatory for all young Americans?,content-words,entailment,0.99,3361.0,so huh what do you think should they uh should young Americans be forced to do a year of service,entailment,False
90,942.0,A2C84POENS2UNY,Uncertain-Flip,17455.0,Should one year of service be mandatory for all Americans?,content-words,neutral,0.99,3361.0,so huh what do you think should they uh should young Americans be forced to do a year of service,contradiction,True
90,942.0,A2C84POENS2UNY,Uncertain-Flip,17468.0,Should one year of service not be required for young Americans?,content-words,contradiction,0.99,3361.0,so huh what do you think should they uh should young Americans be forced to do a year of service,contradiction,False
90,942.0,A2C84POENS2UNY,Certain-Same,17469.0,Should one year of service be forced upon young Americans?,content-words,entailment,0.99,3361.0,so huh what do you think should they uh should young Americans be forced to do a year of service,entailment,False
129,1253.0,A2C84POENS2UNY,Uncertain-Same,17482.0,Litigation is time consuming and results in air quality not being determined by the courts.,content-words,entailment,0.97,3363.0,"Implementation and enforcement usually requires years of litigation, leaving the fate of America's air to the uncertainties of the courtroom.",neutral,True
129,1253.0,A2C84POENS2UNY,Certain-Same,17487.0,Litigation is time consuming due to the air quality being determined by the courts.,content-words,entailment,0.97,3363.0,"Implementation and enforcement usually requires years of litigation, leaving the fate of America's air to the uncertainties of the courtroom.",contradiction,True
129,1253.0,A2C84POENS2UNY,Uncertain-Flip,17493.0,Litigation is time consuming and doesn't result in air quality being determined by the courts.,content-words,contradiction,0.97,3363.0,"Implementation and enforcement usually requires years of litigation, leaving the fate of America's air to the uncertainties of the courtroom.",contradiction,False
129,1253.0,A2C84POENS2UNY,Uncertain-Same,17497.0,Litigation is time consuming and results in the quality being determined by the courts.,content-words,entailment,0.97,3363.0,"Implementation and enforcement usually requires years of litigation, leaving the fate of America's air to the uncertainties of the courtroom.",entailment,False
60,444.0,A2EI075XZT9Y2S,Uncertain-Same,17793.0,I don't know what to do about what I've got.,content-words,neutral,1.0,3413.0,so i don't know i i i have no idea what to do about it,entailment,True
60,444.0,A2EI075XZT9Y2S,Certain-Same,17794.0,I don't know what to do about the letter I got.,content-words,neutral,1.0,3413.0,so i don't know i i i have no idea what to do about it,neutral,False
60,444.0,A2EI075XZT9Y2S,Uncertain-Same,17796.0,I don't know what to do about the problem I got.,content-words,neutral,1.0,3413.0,so i don't know i i i have no idea what to do about it,entailment,True
60,444.0,A2EI075XZT9Y2S,Uncertain-Flip,17797.0,I don't know what to do about the problem I've got.,content-words,entailment,1.0,3413.0,so i don't know i i i have no idea what to do about it,entailment,False
117,1398.0,A2C84POENS2UNY,Certain-Flip,18124.0,I like no of his works that are currently out.,content-words,contradiction,0.98,3466.0,he's got several out that i like and uh matter fact,contradiction,False
117,1398.0,A2C84POENS2UNY,Certain-Flip,18126.0,I don't like any of his works that are currently out.,content-words,contradiction,0.98,3466.0,he's got several out that i like and uh matter fact,contradiction,False
117,1398.0,A2C84POENS2UNY,Uncertain-Same,18133.0,I like several of his songs that are currently out.,content-words,entailment,0.98,3466.0,he's got several out that i like and uh matter fact,contradiction,True
117,1398.0,A2C84POENS2UNY,Uncertain-Flip,18134.0,I like several of the movies that are currently out.,content-words,neutral,0.98,3466.0,he's got several out that i like and uh matter fact,neutral,False
48,1160.0,A30HUZHJBOX1LK,Certain-Same,20511.0,The best view of the entire citadel is from a government building.,content-words,contradiction,1.0,3967.0,The best view of the whole citadel can be had from the terrace of the Jaisal Castle Hotel.,contradiction,False
48,1160.0,A30HUZHJBOX1LK,Uncertain-Same,20514.0,The best view of the citadel is from inside the building.,content-words,contradiction,1.0,3967.0,The best view of the whole citadel can be had from the terrace of the Jaisal Castle Hotel.,contradiction,False
48,1160.0,A30HUZHJBOX1LK,Uncertain-Same,20516.0,The best view of the citadel is from a.label: neutral.,content-words,contradiction,1.0,3967.0,The best view of the whole citadel can be had from the terrace of the Jaisal Castle Hotel.,neutral,True
48,1160.0,A30HUZHJBOX1LK,Uncertain-Flip,20518.0,The best view of the citadel is from a government hotel terrace.,content-words,neutral,1.0,3967.0,The best view of the whole citadel can be had from the terrace of the Jaisal Castle Hotel.,contradiction,True
309,995.0,A2C84POENS2UNY,Uncertain-Flip,12369.0,I don't want to offend you by saying you're old.,gradient,entailment,1.0,4377.0,Don't be offended because I think you're young.,contradiction,True
309,995.0,A2C84POENS2UNY,Uncertain-Same,12371.0,I was trying not to offend you by saying you're old.,gradient,contradiction,1.0,4377.0,Don't be offended because I think you're young.,contradiction,False
309,995.0,A2C84POENS2UNY,Certain-Same,12374.0,I was trying to be kind by saying you're old.,gradient,contradiction,1.0,4377.0,Don't be offended because I think you're young.,contradiction,False
309,995.0,A2C84POENS2UNY,Uncertain-Same,12377.0,I don't mean to offend you by saying you're old.,gradient,contradiction,1.0,4377.0,Don't be offended because I think you're young.,contradiction,False
33,1011.0,A2C84POENS2UNY,Uncertain-Same,23112.0,"What caused it? inquired Jane, as Tuppence rejoined her.",content-words,neutral,1.0,4461.0,What was it? asked Jane as Tuppence rejoined her.,contradiction,True
33,1011.0,A2C84POENS2UNY,Certain-Flip,23113.0,"What? inquired Jane, as Tuppence rejoined her.",content-words,entailment,1.0,4461.0,What was it? asked Jane as Tuppence rejoined her.,entailment,False
54,3191.0,A2C84POENS2UNY,Certain-Same,23925.0,I said that speaking to the parties would.,content-words,contradiction,1.0,4614.0,(Prudie agrees that speaking directly to the parties would probably not be useful.),neutral,True
54,3191.0,A2C84POENS2UNY,Uncertain-Same,23927.0,I said that speaking to the parties.,content-words,contradiction,1.0,4614.0,(Prudie agrees that speaking directly to the parties would probably not be useful.),neutral,True
54,3191.0,A2C84POENS2UNY,Uncertain-Flip,23928.0,I said that speaking to the parties would probably not be useful.,content-words,entailment,1.0,4614.0,(Prudie agrees that speaking directly to the parties would probably not be useful.),neutral,True
54,3191.0,A2C84POENS2UNY,Uncertain-Flip,23929.0,I said that speaking to the parties wouldn't be useful.,content-words,entailment,1.0,4614.0,(Prudie agrees that speaking directly to the parties would probably not be useful.),neutral,True
147,1271.0,A2C84POENS2UNY,Uncertain-Flip,24092.0,Two unlucky bodies were flung up into the sky gaps.,content-words,entailment,0.97,4654.0,"Once, two bodies went hurtling upwards toward the great gaps in the sky.",entailment,False
147,1271.0,A2C84POENS2UNY,Uncertain-Same,24102.0,Two unlucky bodies were flung up into the darkened.,content-words,neutral,0.97,4654.0,"Once, two bodies went hurtling upwards toward the great gaps in the sky.",neutral,False
147,1271.0,A2C84POENS2UNY,Uncertain-Same,24104.0,Two unlucky bodies were flung up into the darkened skies.,content-words,neutral,0.97,4654.0,"Once, two bodies went hurtling upwards toward the great gaps in the sky.",neutral,False
147,1271.0,A2C84POENS2UNY,Certain-Same,24109.0,Two people were flung up into the darkened sky gaps.,content-words,neutral,0.97,4654.0,"Once, two bodies went hurtling upwards toward the great gaps in the sky.",neutral,False
381,1130.0,A30HUZHJBOX1LK,Certain-Same,15427.0,Tuppence had good posture but only when she was guarded.,gradient,neutral,0.98,5495.0,"Tuppence, for her part, sat bolt upright much in the attitude of a watchful terrier on guard.",neutral,False
402,244.0,A2EI075XZT9Y2S,Uncertain-Flip,15956.0,The most dramatic season was when they beat the A's.,gradient,neutral,0.97,5711.0,the the year they beat the As yeah that was really dramatic they were,neutral,False
402,244.0,A2EI075XZT9Y2S,Uncertain-Same,15960.0,The most dramatic year was when they beat the A's.,gradient,entailment,0.97,5711.0,the the year they beat the As yeah that was really dramatic they were,neutral,True
402,244.0,A2EI075XZT9Y2S,Uncertain-Same,15962.0,The really dramatic moment of the season was when they beat the A's.,gradient,entailment,0.97,5711.0,the the year they beat the As yeah that was really dramatic they were,neutral,True
402,244.0,A2EI075XZT9Y2S,Certain-Flip,15963.0,The most dramatic game of the season was when they beat the A's.,gradient,neutral,0.97,5711.0,the the year they beat the As yeah that was really dramatic they were,neutral,False
447,35.0,A2EI075XZT9Y2S,Uncertain-Same,16001.0,Uncle Hiram had told them that he had no sons.,gradient,neutral,0.94,5728.0,Are you really Uncle Hiram's son? she asked wonderingly.,neutral,False
447,35.0,A2EI075XZT9Y2S,Certain-Flip,16002.0,Uncle Hiram told them that he had no sons.,gradient,contradiction,0.94,5728.0,Are you really Uncle Hiram's son? she asked wonderingly.,neutral,True
447,35.0,A2EI075XZT9Y2S,Uncertain-Same,16004.0,Uncle Hiram always told them that he had no sons.,gradient,neutral,0.94,5728.0,Are you really Uncle Hiram's son? she asked wonderingly.,neutral,False
447,35.0,A2EI075XZT9Y2S,Uncertain-Flip,16007.0,Uncle Hiram had informed them that he had no sons.,gradient,contradiction,0.94,5728.0,Are you really Uncle Hiram's son? she asked wonderingly.,neutral,True
24,430.0,A2EI075XZT9Y2S,Uncertain-Flip,30052.0,Humans will be unable to live on the planet forever.,content-words,entailment,1.0,5851.0,and things will live on this planet but humans may not be able to anymore,neutral,True
24,430.0,A2EI075XZT9Y2S,Uncertain-Same,30053.0,"Humans will be able to live on the planet, but not forever.",content-words,contradiction,1.0,5851.0,and things will live on this planet but humans may not be able to anymore,neutral,True
24,430.0,A2EI075XZT9Y2S,Certain-Same,30058.0,Humans will be on the planet forever.,content-words,contradiction,1.0,5851.0,and things will live on this planet but humans may not be able to anymore,neutral,True
24,430.0,A2EI075XZT9Y2S,Uncertain-Flip,30062.0,Humans will be Unable to live on the planet forever.,content-words,neutral,1.0,5851.0,and things will live on this planet but humans may not be able to anymore,neutral,False
57,425.0,A2EI075XZT9Y2S,Certain-Same,30128.0,The staffing issue is different from other human problems in private organizations.,content-words,neutral,1.0,5865.0,Another human capital issue is more structural in terms of staffing.,neutral,False
57,425.0,A2EI075XZT9Y2S,Uncertain-Flip,30141.0,Staffing issues result from other human problems.,content-words,entailment,1.0,5865.0,Another human capital issue is more structural in terms of staffing.,neutral,True
57,425.0,A2EI075XZT9Y2S,Uncertain-Flip,30147.0,Staffing issues result from other human problems in.,content-words,entailment,1.0,5865.0,Another human capital issue is more structural in terms of staffing.,neutral,True
57,425.0,A2EI075XZT9Y2S,Uncertain-Same,30148.0,Staffing issues result from other human problems within the organizations.,content-words,neutral,1.0,5865.0,Another human capital issue is more structural in terms of staffing.,neutral,False
336,533.0,A2EI075XZT9Y2S,Uncertain-Same,16756.0,I had only heard of them turning some away.,gradient,neutral,1.0,5986.0,oh i didn't even know they were turning any away,contradiction,True
336,533.0,A2EI075XZT9Y2S,Uncertain-Flip,16757.0,I had only heard that they were turning some away.,gradient,contradiction,1.0,5986.0,oh i didn't even know they were turning any away,contradiction,False
336,533.0,A2EI075XZT9Y2S,Certain-Flip,16761.0,I had heard about them turning some away.,gradient,contradiction,1.0,5986.0,oh i didn't even know they were turning any away,contradiction,False
336,533.0,A2EI075XZT9Y2S,Certain-Flip,16762.0,I had heard the rumours about them turning some away.,gradient,contradiction,1.0,5986.0,oh i didn't even know they were turning any away,contradiction,False
441,4083.0,A2C84POENS2UNY,Uncertain-Same,17560.0,"If you have an appetite for mainstream movies, emberlita is a good place to go.",gradient,entailment,0.94,6273.0,"There are many cinemas in Istiklal Caddesi, and a multi-screen theatre at ?‡emberlita?« in the Old Cite which show mainstream movies.",entailment,False
441,4083.0,A2C84POENS2UNY,Certain-Same,17562.0,"If you're looking for movies, emberlita is a good place to go.",gradient,entailment,0.94,6273.0,"There are many cinemas in Istiklal Caddesi, and a multi-screen theatre at ?‡emberlita?« in the Old Cite which show mainstream movies.",entailment,False
441,4083.0,A2C84POENS2UNY,Uncertain-Flip,17569.0,"If you're looking for independent movies, emberlita is a good place to go.",gradient,contradiction,0.94,6273.0,"There are many cinemas in Istiklal Caddesi, and a multi-screen theatre at ?‡emberlita?« in the Old Cite which show mainstream movies.",neutral,True
